"city","mean_swater","err"
"Seattle",2.92106863420765,""
"Sechura",1.73684210526316,""
"Sefra",NA,""
"Segezha",2.62686567164179,""
"Segou",2.69672131147541,""
"Seguela",NA,""
"Sekondi",2.57684210526316,""
"Selawik",2.13636363636364,""
"Selfoss",2.94117647058824,""
"Selibaby",NA,""
"Selkirk",2.27450980392157,""
"Selma",2.19354838709677,""
"Semarang",2.68936370296662,""
"Sembe",NA,""
"Semey",2.29635761589404,""
"Semnan",1.75,""
"Sena Madureira",1.78048780487805,""
"Sendai",2.66296378582537,""
"Senhor do Bonfim",1,""
"Sennar",1.42857142857143,""
"Sensuntepeque",NA,""
"Seoul",2.23620696696206,""
"Serang",2.49575749281511,""
"Serdobsk",1.953125,""
"Seremban",1.68145161290323,""
"Seres",NA,""
"Sergiyev Posad",2.4375,""
"Serov",1.54054054054054,""
"Serowe",1.4,""
"Serpukhov",2.1195652173913,""
"Serrinha",1.23076923076923,""
"Sesheke",NA,""
"Sete Lagoas",1.43617021276596,""
"Setif",1.89473684210526,""
"Settat",2,""
"Setubal",2.78698224852071,""
"Sevastapol",2.98452278589854,""
"Severnyy",1.89041095890411,""
"Severodvinsk",2.56719817767654,""
"Severomorsk",2.72413793103448,""
"Severouralsk",2.37209302325581,""
"Seville",2.29184549356223,""
"Seymour",2.84615384615385,""
"Sfax",2.87269585253456,""
"Shache",1.48648648648649,""
"Shadrinsk",1.17672413793103,""
"Shahjahanpur",1.40914632564655,""
"Shahrisabz",1.33532219570406,""
"Shahrud",NA,""
"Shakhty",2.04666666666667,""
"Shalqar",2.11320754716981,""
"Shamattawa",2.6,""
"Shamva",1,""
"Shangdu",1.66666666666667,""
"Shanghai",2.16238639258787,""
"Shangqiu",1.52468619246862,""
"Shangrao",1.95202257761054,""
"Shangzhi",1.98009950248756,""
"Shannon",2,""
"Shantou",2.60730490320005,""
"Shanxian",1.633293209658,""
"Shaoguan",1.97665369649805,""
"Shaowu",1.75,""
"Shaoxing",2.04430212014134,""
"Shaoyang",2.12690355329949,""
"Shar",1.61904761904762,""
"Sharbaqty",NA,""
"Sharjah",2.52556818181818,""
"Sharya",1.96,""
"Shashemene",2.75232367413887,""
"Shashi",1.89582348305753,""
"Shawinigan",2.66106442577031,""
"Shawnee",1.8,""
"Shchekino",2,""
"Shebekino",1.83636363636364,""
"Sheberghan",1,""
"Sheboygan",2.43866171003717,""
"Sheffield",1.77289836888331,""
"Sheikhu Pura",1.27469332121763,""
"Shelburne",2.97333333333333,""
"Shemonaikha",2.52777777777778,""
"Shendi",1.77821011673152,""
"Shenyeng",1.71128161409491,""
"Shenzhen",2.28286066584464,""
"Shepparton",2.01923076923077,""
"Sherbrooke",2.55597014925373,""
"Sherlovaya Gora",1,""
"Sherman",1.925,""
"Shieli",1.25,""
"Shihezi",1.64569215876089,""
"Shijianzhuang",1.62018411183089,""
"Shilka",1.95121951219512,""
"Shillong",2,""
"Shimanovsk",1.40350877192982,""
"Shimoga",1.94761904761905,""
"Shimonoseki",2.93385082686466,""
"Shinyanga",1.86666666666667,""
"Shira",NA,""
"Shiraz",1.38461538461538,""
"Shishmaref",2.4,""
"Shishou",1.82792953791167,""
"Shiyan",1.79054054054054,""
"Shizuishan",1.78048780487805,""
"Shizuoka",2.78685503685504,""
"Shkoder",1.98,""
"Sholapur",1.5546875,""
"Shonzhy",NA,""
"Shostka",2.45238095238095,""
"Shouzhou",1.86274509803922,""
"Shreveport",2.21840759678598,""
"Shu",1.54237288135593,""
"Shuangcheng",1.68292682926829,""
"Shulan",1.86315789473684,""
"Shumen",2,""
"Shumerlya",2.125,""
"Shuya",2.046875,""
"Shuyang",1.98057811346471,""
"Shwebo",1.89944134078212,""
"Shymkent",1.46511627906977,""
"Si Racha",1.875,""
"Sialkote",1.38412514484357,""
"Siauliai",2.41666666666667,""
"Sibay",1.98039215686275,""
"Sibiti",NA,""
"Sibiu",1.66666666666667,""
"Sibolga",2.87710843373494,""
"Sibu",2.4136690647482,""
"Sibut",NA,""
"Sica Sica",NA,""
"Sicuani",1.83333333333333,""
"Sidi bel Abbes",1,""
"Sidney",2,""
"Siedlce",1.67391304347826,""
"Siem Reap",1.39705882352941,""
"Siena",1.5,""
"Siguiri",2,""
"Sikar",1.08895705521472,""
"Sikasso",NA,""
"Sikonge",NA,""
"Silchar",1.5274317201725,""
"Siliguri",1.43714668686986,""
"Simao",1.53301886792453,""
"Simferopol",2.49107142857143,""
"Sincelejo",1.60869565217391,""
"Singapore",2.19906429218231,""
"Singaraja",2.9918500407498,""
"Singida",2.29113924050633,""
"Singkawang",1.2,""
"Singleton",1,""
"Sinnamary",2,""
"Sinop",1.44444444444444,""
"Sinuiju",1.73417721518987,""
"Sioux City",2,""
