"city","mean_swater","err"
"Georgetown2",NA,""
"Georgievsk",2.40909090909091,""
"Gera",2.14285714285714,""
"Geraldton1",2.88917525773196,""
"Geraldton2",2.18181818181818,""
"Ghadamis",NA,""
"Ghanzi",NA,""
"Ghardaia",2,""
"Gharyan",NA,""
"Ghat",NA,""
"Ghaziabad",1.37205882352941,""
"Ghazni",1.16666666666667,""
"Gibraltar",2.89935587761675,""
"Giessen",2.28378378378378,""
"Gifu",2.10286783042394,""
"Gijon",2.85150812064965,""
"Gila Bend",NA,""
"Gilgit",2.50632911392405,""
"Gillette",1.88,""
"Gimbi",NA,""
"Gimli",2.86,""
"Gingin",NA,""
"Gingoog",2.6,""
"Girardot",2.33684210526316,""
"Girga",2.28351648351648,""
"Gisborne",2.85625,""
"Gitarama",2.33161290322581,""
"Gitega",1.57647058823529,""
"Giyon",2.41666666666667,""
"Gjovik",2.83582089552239,""
"Gladstone",2.22,""
"Glasgow1",1.69444444444444,""
"Glasgow2",2.33038348082596,""
"Glazov",1.70247933884298,""
"Glendale",1.6937618147448,""
"Glendive",2.32758620689655,""
"Glenwood Springs",2.05454545454545,""
"Gliwice",1.96421471172962,""
"Goba",NA,""
"Gogrial",1.30769230769231,""
"Goiana",1.40552016985138,""
"Goianesia",2.15789473684211,""
"Goiania",1.81545741324921,""
"Gold Coast",2.87695220066256,""
"Goldsboro",1.98936170212766,""
"Golela",NA,""
"Golmud",1.328125,""
"Golyshmanovo",1.4,""
"Goma",2.92693242148835,""
"Gombe",1,""
"Gomez Palacio",1.40909090909091,""
"Gonaives",1.98863636363636,""
"Gonbad-e Kavus",1.42857142857143,""
"Gonder",1.33333333333333,""
"Goodland",2,""
"Goondiwindi",1.94117647058824,""
"Gorakhpur",1.35215510957772,""
"Gorgan",1.69230769230769,""
"Gorno Altaysk",1.47619047619048,""
"Gornyak",2.11111111111111,""
"Goroka",NA,""
"Gorontalo",1.64657534246575,""
"Gorzow Wielkopolski",2.41353383458647,""
"Goteborg",2.79517534062989,""
"Gottingen",2.3,""
"Goulburn",1.47058823529412,""
"Goulimine",NA,""
"Goundam",1.90909090909091,""
"Goure",1,""
"Governador Valadares",1.94285714285714,""
"Goya",1.51724137931034,""
"Goycay",1,""
"Graaff Reinet",1.2,""
"Grafton",1.5,""
"Grahamstown",2.2,""
"Granada1",2.88235294117647,""
"Granada2",2,""
"Grand Bassam",1.91964285714286,""
"Grand Canyon",NA,""
"Grand Forks",1.4235807860262,""
"Grand Island",2.29126213592233,""
"Grand Junction",2.28617363344051,""
"Grand Prairie1",2.20922161626177,""
"Grand Prairie2",2.34328358208955,""
"Grand Rapids",2.2888198757764,""
"Grand Turk",2.5625,""
"Granja",1.47368421052632,""
"Grants Pass",2.36,""
"Graz",2.44394618834081,""
"Great Falls",2.26690391459075,""
"Greeley",1.98872180451128,""
"Green Bay",2.71884984025559,""
"Green River",2.22448979591837,""
"Greeneville",1.82051282051282,""
"Greenock",2.88804841149773,""
"Greensboro",2.01881331403763,""
"Greenville1",2.17886178861789,""
"Greenville2",1.80903790087464,""
"Greenville3",2.69230769230769,""
"Grenoble",2.29032258064516,""
"Griffith",2,""
"Groningen",2.39762611275964,""
"Grootfontein",NA,""
"Groznyy",1.81471389645777,""
"Grudziadz",2.44,""
"Gryazi",2.34259259259259,""
"Guadalajara1",1.56417910447761,""
"Guadalajara2",1.33333333333333,""
"Guaira",2.1,""
"Guajara-Miram",2.278125,""
"Gualeguay",1.17910447761194,""
"Gualeguaychu",2.31707317073171,""
"Guamuchil",1.79310344827586,""
"Guanajuato",2.1,""
"Guanambi",1.67241379310345,""
"Guanare",1.20754716981132,""
"Guangshui",1.77995275059062,""
"Guangyuan",2.32415902140673,""
"Guangzhou",2.06605952683795,""
"Guanhaes",1,""
"Guantanamo",2,""
"Guaranda",NA,""
"Guarapuava",1.75438596491228,""
"Guaratingueta",1.525783619818,""
"Guasave",1.38202247191011,""
"Guasdualito",1.39344262295082,""
"Guatemala",2.68936170212766,""
"Guaxupe",1.59090909090909,""
"Guayaquil",2.41381381381381,""
"Guaynas",2.70108695652174,""
"Gubakha",2.46428571428571,""
"Gubkin",NA,""
"Guide",2.14285714285714,""
"Guider",1.71428571428571,""
"Guiglo",1.74074074074074,""
"Guilin",1.79302536231884,""
"Guines",NA,""
"Guiyang",1.76928675400291,""
"Gujranwala",1.40223399355136,""
