"","city","mean_ndvi","mean_surface_water","mean_uhi_DayNight","mean_uhi_daytime","mean_uhi_Nighttime"
"1","Cluj-Napoca",4278.13129227935,2.33333333333333,1.75469018632615,1.1399473141189,0.614742872207253
"2","Coalcoman",4845.87258454106,NA,NA,NA,NA
"3","Coari",3939.00087782027,2.45070422535211,NA,NA,NA
"4","Coatzacoalcos",4210.02138712914,2.47772657450077,2.86683647828001,2.51222014344196,0.354616334838049
"5","Cobalt",3432.6976284585,2.75,NA,NA,NA
"6","Coban",6190.64440993789,2,NA,NA,NA
"7","Cobija",5621.85611458485,1.80821917808219,NA,NA,NA
"8","Cobram",3539.40598531903,1,NA,NA,NA
"9","Coburg",5246.57269061244,2.42,0.414893594232689,0.339894730596641,0.0749988636360482
"10","Cochabamba",0,1.71270718232044,0.0310002358629065,0.0535027039644619,-0.0225024681015554
"11","Cochin",6044.77339204056,2.70924376112394,0.667309187407802,0.444943912835841,0.222365274571961
"12","Cochrane",2953.32383252818,2.52,NA,NA,NA
"13","Cody",2402.67458817175,2.44897959183673,NA,NA,NA
"14","Coffeyville",0,1.65625,NA,NA,NA
"15","Coffs Harbour",5588.05284463443,2.45652173913043,1.16646036938582,0.922824566257732,0.243635803128088
"16","Coihaique",5748.47708578143,1.33333333333333,0.579967854922083,0.592802979857535,-0.0128351249354515
"17","Coimbatore",4248.77782856623,1.61904761904762,1.32279770263288,0.526756736939386,0.796040965693496
"18","Coimbra",5708.81769036117,2.20512820512821,1.37558454160633,0.564799245618866,0.810785295987461
"19","Colac",5141.7177726926,NA,NA,NA,NA
"20","Colesberg",2706.12145167086,1.5,NA,NA,NA
"21","Colima",4559.97085068412,2,1.22622245402256,0.814344137195331,0.41187831682723
"22","Colinas",4299.09161490683,1,NA,NA,NA
"23","Collipulli",5524.28530362918,NA,NA,NA,NA
"24","Colombo",7008.91521354549,2.69218468005391,-0.597479376138795,-0.862035113978784,0.264555737839989
"25","Colon1",4445.92606480504,2.11834319526627,NA,NA,NA
"26","Colon2",5866.05788617399,2.3125,NA,NA,NA
"27","Colorado Springs",3489.46291265347,1.70915032679739,0.594158471791606,0.691166450460691,-0.0970079786690842
"28","Columbia1",5711.27135801685,1.9263335713415,1.71357685760591,1.37087511234897,0.342701745256938
"29","Columbia2",6181.94956198672,1.99512714209525,1.4994840024657,1.24574841757595,0.253735584889745
"30","Columbia3",5921.05447417074,2.07630769230769,1.92698095544717,1.53913498115641,0.387845974290767
"31","Columbus1",6031.85795238261,2.09270704573548,2.59650688161895,2.13385295567691,0.462653925942039
"32","Columbus2",4813.26870224121,2.08288288288288,1.16587534153855,0.946928476663288,0.218946864875263
"33","Comallo",2241.69828722003,NA,NA,NA,NA
"34","Comandante Fontana",6004.92068511199,1.61538461538462,NA,NA,NA
"35","Comayagua",5286.11205533597,1.18181818181818,NA,NA,NA
"36","Combarbala",2775.3504880213,NA,NA,NA,NA
"37","Comilla",5515.70414866824,1.46082663332634,2.41871194520858,1.62998677868074,0.788725166527841
"38","Como",5488.72404093705,2.7324290998767,0.692667087114907,0.248970726911524,0.443696360203384
"39","Comodoro Rivadavia",2490.59818334078,2.95741626794258,-1.36475510587312,-1.57748338390742,0.212728278034302
"40","Comondante Luis Piedrabuena",1804.63043478261,NA,0.518773257732391,0.315140575170517,0.203632682561874
"41","Compostela",4869.97285902503,1,NA,NA,NA
"42","Conakry",3310.00355565718,2.51156484287765,3.97079513574102,3.88465590309567,0.0861392326453435
"43","Concepcion del Uruguay",5018.91219055544,1.5,1.69686774735379,0.808850090869744,0.888017656484051
