"city","mean_ndvi","err"
"Seattle",5885.99756766647,""
"Sechura",1865.85520186335,""
"Sefra",1704.59146537842,""
"Segezha",3214.22003522319,""
"Segou",2033.63692718335,""
"Seguela",4331.85487922705,""
"Sekondi",4159.02127242828,""
"Selawik",2856.29417293233,""
"Selfoss",3372.13644661868,""
"Selibaby",2587.93115942029,""
"Selkirk",2628.27035886819,""
"Selma",6085.4081027668,""
"Semarang",6009.80788437151,""
"Sembe",7526.58364389234,""
"Semey",2345.97886133526,""
"Semnan",1561.62024154589,""
"Sena Madureira",5756.39353840866,""
"Sendai",4129.39385954938,""
"Senhor do Bonfim",3436.49881422925,""
"Sennar",2284.39225894208,""
"Sensuntepeque",6751.42534036012,""
"Seoul",0,""
"Serang",5752.01343149267,""
"Serdobsk",3711.78651925877,""
"Seremban",5584.35885511429,""
"Seres",4432.50678871091,""
"Sergiyev Posad",4132.54786224351,""
"Serov",3660.13879276665,""
"Serowe",3362.74939096042,""
"Serpukhov",3629.8703408859,""
"Serrinha",4507.42875048962,""
"Sesheke",4280.33333333333,""
"Sete Lagoas",4962.87405260333,""
"Setif",0,""
"Settat",3695.52643948296,""
"Setubal",3991.65491179538,""
"Sevastapol",4052.50608785501,""
"Severnyy",2037.04717127414,""
"Severodvinsk",2364.60533463403,""
"Severomorsk",3133.55238341056,""
"Severouralsk",3944.99285433128,""
"Seville",0,""
"Seymour",5078.91117120865,""
"Sfax",1672.03392868158,""
"Shache",2763.72735089278,""
"Shadrinsk",3253.25263504611,""
"Shahjahanpur",4657.5853202019,""
"Shahrisabz",3181.37039316844,""
"Shahrud",0,""
"Shakhty",3329.49446339788,""
"Shalqar",1098.5325453861,""
"Shamattawa",2228.32814879455,""
"Shamva",4959.77724449464,""
"Shangdu",1876.18726163234,""
"Shanghai",4151.46327371509,""
"Shangqiu",4989.90140267249,""
"Shangrao",5367.72081046042,""
"Shangzhi",3038.63214400171,""
"Shannon",6281.43065460093,""
"Shantou",5828.19932407077,""
"Shanxian",4852.19525618528,""
"Shaoguan",5021.23287420359,""
"Shaowu",3006.90489130435,""
"Shaoxing",4227.41124727203,""
"Shaoyang",5031.61598188437,""
"Shar",2046.68048069629,""
"Sharbaqty",2238.48097826087,""
"Sharjah",1247.27149270295,""
"Sharya",3900.50759524756,""
"Shashemene",4878.67868145264,""
"Shashi",4053.095171476,""
"Shawinigan",4054.72808619329,""
"Shawnee",4398.8947778177,""
"Shchekino",3754.72190931561,""
"Shebekino",3813.28985507246,""
"Sheberghan",0,""
"Sheboygan",4070.11547773061,""
"Sheffield",5650.03244725914,""
"Sheikhu Pura",4442.50634566483,""
"Shelburne",5071.4261844704,""
"Shemonaikha",2680.47497584541,""
"Shendi",2232.69717601879,""
"Shenyeng",3197.28451563109,""
"Shenzhen",4606.53583396183,""
"Shepparton",4174.09392419175,""
"Sherbrooke",4214.08972705629,""
"Sherlovaya Gora",2475.42391304348,""
"Sherman",4759.83278076213,""
"Shieli",2386.14451681042,""
"Shihezi",2583.92763241988,""
"Shijianzhuang",0,""
"Shilka",2845.18488356441,""
"Shillong",5637.61175997322,""
"Shimanovsk",3478.67453547881,""
"Shimoga",5320.06190189471,""
"Shimonoseki",5040.65014003249,""
"Shinyanga",3935.72544370722,""
"Shira",2314.1277173913,""
"Shiraz",1524.579890619,""
"Shishmaref",NA,""
"Shishou",4427.67808964844,""
"Shiyan",5404.97255438116,""
"Shizuishan",1608.46432656655,""
"Shizuoka",4750.92740861018,""
"Shkoder",4504.15103374886,""
"Sholapur",3308.12206469646,""
"Shonzhy",2408.6347826087,""
"Shostka",4064.58851182263,""
"Shouzhou",2966.75797556912,""
"Shreveport",5344.03712180217,""
"Shu",2983.47820354819,""
"Shuangcheng",3201.44744939038,""
"Shulan",3663.01086956522,""
"Shumen",4646.6153751005,""
"Shumerlya",3822.3708168643,""
"Shuya",3545.69886071287,""
"Shuyang",4664.37097538593,""
"Shwebo",4748.43675099701,""
"Shymkent",2729.32494446208,""
"Si Racha",3824.00013390978,""
"Sialkote",4676.98718035845,""
"Siauliai",4103.83651235677,""
"Sibay",2047.59454533585,""
"Sibiti",3879.01679841897,""
"Sibiu",4550.35501672241,""
"Sibolga",6894.93993883477,""
"Sibu",4706.35368690536,""
"Sibut",6100.85924462011,""
"Sica Sica",0,""
"Sicuani",4050.44255599473,""
"Sidi bel Abbes",2823.74160480735,""
"Sidney",3067.93150266972,""
"Siedlce",4608.34777611194,""
"Siem Reap",4859.09187052665,""
"Siena",5794.29347826087,""
"Siguiri",2800.07362318841,""
"Sikar",3383.07094557811,""
"Sikasso",3248.0303030303,""
"Sikonge",4486.02129547471,""
"Silchar",5935.93718993848,""
"Siliguri",5504.02062566361,""
"Simao",4394.16385595081,""
"Simferopol",4276.63778448334,""
"Sincelejo",5486.39045342194,""
"Singapore",3689.19364940599,""
"Singaraja",6309.97269282754,""
"Singida",2829.25959865601,""
"Singkawang",5160.98858697277,""
