"","city","mean_ndvi","mean_surface_water","mean_uhi_DayNight","mean_uhi_daytime","mean_uhi_Nighttime"
"1","Georgetown2",3939.57336956522,NA,NA,NA,NA
"2","Georgievsk",4269.97922963652,2.40909090909091,2.12061192568255,1.25652490822471,0.864087017457835
"3","Gera",5755.91399904443,2.14285714285714,1.00136830279628,0.608312291023019,0.393056011773259
"4","Geraldton1",2723.50517375572,2.88917525773196,-1.83245516150691,-2.53473843595161,0.702283274444701
"5","Geraldton2",3152.93768115942,2.18181818181818,NA,NA,NA
"6","Ghadamis",1029.3299689441,NA,NA,NA,NA
"7","Ghanzi",2635.80919870643,NA,NA,NA,NA
"8","Ghardaia",1594.21323330019,2,-0.797307380723456,-0.827115343511104,0.029807962787648
"9","Gharyan",2115.14782608696,NA,-0.455148387561315,-0.844891945456167,0.389743557894853
"10","Ghat",1230.13649538867,NA,NA,NA,NA
"11","Ghaziabad",4102.63114154856,1.37205882352941,2.25536448408453,0.476021768608208,1.77934271547632
"12","Ghazni",1438.00699403417,1.16666666666667,NA,NA,NA
"13","Gibraltar",0,2.89935587761675,0.566690978778397,0.323111138620319,0.243579840158077
"14","Giessen",5620.04990189733,2.28378378378378,1.23312647272064,0.867582480209979,0.36554399251066
"15","Gifu",4365.42602519667,2.10286783042394,2.26692683921783,2.39022828307138,-0.123301443853552
"16","Gijon",5811.90680560868,2.85150812064965,-0.415464771255913,-0.291722463046665,-0.123742308209247
"17","Gila Bend",1366.99496945742,NA,NA,NA,NA
"18","Gilgit",0,2.50632911392405,NA,NA,NA
"19","Gillette",2703.95786278938,1.88,NA,NA,NA
"20","Gimbi",6410.26048817696,NA,NA,NA,NA
"21","Gimli",1861.71837045689,2.86,NA,NA,NA
"22","Gingin",5021.93596837945,NA,NA,NA,NA
"23","Gingoog",5913.52388239621,2.6,NA,NA,NA
"24","Girardot",6370.32251649643,2.33684210526316,NA,NA,NA
"25","Girga",2590.43369438685,2.28351648351648,0.415420315538844,0.138013415411115,0.277406900127729
"26","Gisborne",6128.69338361439,2.85625,1.90900762286646,0.497835974969895,1.41117164789657
"27","Gitarama",5643.44529352037,2.33161290322581,NA,NA,NA
"28","Gitega",5801.99614401617,1.57647058823529,NA,NA,NA
"29","Giyon",4450.03655481976,2.41666666666667,0.543659151553414,0.827060785057932,-0.283401633504518
"30","Gjovik",3836.76907857125,2.83582089552239,NA,NA,NA
"31","Gladstone",3661.48231926336,2.22,1.56608637681695,1.50004185933251,0.0660445174844395
"32","Glasgow1",2238.27720685112,1.69444444444444,NA,NA,NA
"33","Glasgow2",5657.84799491436,2.33038348082596,1.16376103104871,0.868766790569721,0.294994240478992
"34","Glazov",3597.91852064212,1.70247933884298,2.25517639829522,1.83060646144668,0.424569936848535
"35","Glendale",2043.0344245383,1.6937618147448,0.894878337280636,0.299767090569869,0.595111246710766
"36","Glendive",2701.27876295268,2.32758620689655,NA,NA,NA
"37","Glenwood Springs",3824.39567413263,2.05454545454545,NA,NA,NA
"38","Gliwice",4837.17697582912,1.96421471172962,1.81245843221391,0.953739152777063,0.858719279436844
"39","Goba",5576.32463768116,NA,NA,NA,NA
"40","Gogrial",3779.22190716236,1.30769230769231,NA,NA,NA
"41","Goiana",5618.81006523414,1.40552016985138,NA,NA,NA
"42","Goianesia",4610.41233937687,2.15789473684211,NA,NA,NA
"43","Goiania",5852.79764462688,1.81545741324921,1.08891054766534,0.601768898986578,0.487141648678758
"44","Gold Coast",5492.11393237134,2.87695220066256,1.35335116543854,1.07227673541933,0.281074430019215
"45","Goldsboro",5551.52161058154,1.98936170212766,1.21432191948813,0.94102855494009,0.273293364548038
"46","Golela",5544.48458498024,NA,NA,NA,NA
"47","Golmud",0,1.328125,1.10841782867252,-0.779186140653516,1.88760396932603
"48","Golyshmanovo",3025.11441647597,1.4,NA,NA,NA
"49","Goma",5273.92594103266,2.92693242148835,1.79079575348823,1.38247357966838,0.408322173819848
"50","Gombe",2760.58834144704,1,0.382630515237559,0.240849261172116,0.141781254065443
"51","Gomez Palacio",2390.6195697108,1.40909090909091,0.747958921360162,-0.15570908683197,0.903668008192132
"52","Gonaives",4013.90298459195,1.98863636363636,NA,NA,NA
"53","Gonbad-e Kavus",0,1.42857142857143,0.215101524812075,-0.942405258962351,1.15750678377443
"54","Gonder",4044.58981693364,1.33333333333333,1.09222400560975,0.395777699762377,0.696446305847372
"55","Goodland",3334.88657004831,2,NA,NA,NA
"56","Goondiwindi",3714.45375494071,1.94117647058824,NA,NA,NA
"57","Gorakhpur",4549.44978935944,1.35215510957772,1.90066288483443,0.753676045193987,1.14698683964045
"58","Gorgan",0,1.69230769230769,2.27954304633447,1.18603834529551,1.09350470103897
"59","Gorno Altaysk",3732.71693719927,1.47619047619048,NA,NA,NA
"60","Gornyak",2512.43935926774,2.11111111111111,NA,NA,NA
"61","Goroka",6799.78943861403,NA,NA,NA,NA
"62","Gorontalo",6476.81216206054,1.64657534246575,NA,NA,NA
"63","Gorzow Wielkopolski",4811.84252272868,2.41353383458647,1.61403686681357,0.872160323811068,0.741876543002502
"64","Goteborg",5386.35433838391,2.79517534062989,1.43348860934967,0.915905188451536,0.517583420898134
"65","Gottingen",5333.6222826087,2.3,0.91795293181942,0.515035109635607,0.402917822183813
"66","Goulburn",4201.96391804098,1.47058823529412,0.194323222547817,0.121033654300661,0.0732895682471557
"67","Goulimine",1134.15102974828,NA,NA,NA,NA
"68","Goundam",1843.55335968379,1.90909090909091,NA,NA,NA
"69","Goure",1971.09486166008,1,NA,NA,NA
"70","Governador Valadares",4683.02181934401,1.94285714285714,1.49245436356324,1.25140919841014,0.241045165153101
"71","Goya",5465.33660995589,1.51724137931034,1.47331922072917,1.10262658055872,0.370692640170455
"72","Goycay",4144.97114624506,1,0.588338378409389,0.501927083358169,0.0864112950512208
"73","Graaff Reinet",3003.34647342995,1.2,NA,NA,NA
"74","Grafton",5674.2,1.5,NA,NA,NA
"75","Grahamstown",5078.52611900438,2.2,0.447823895274528,0.259252630972436,0.188571264302092
"76","Granada1",5054.91465337426,2.88235294117647,NA,NA,NA
"77","Granada2",0,2,0.814065145791684,0.355001530879283,0.459063614912401
"78","Grand Bassam",3769.54569800272,1.91964285714286,NA,NA,NA
"79","Grand Canyon",0,NA,NA,NA,NA
"80","Grand Forks",2602.05655111633,1.4235807860262,2.01353604610061,1.40684419527433,0.606691850826289
"81","Grand Island",3818.76982097187,2.29126213592233,2.09793940411249,1.70786799311884,0.390071410993653
"82","Grand Junction",2621.73527208751,2.28617363344051,1.54084197202524,0.702831898283182,0.838010073742056
"83","Grand Prairie1",3983.5003856212,2.20922161626177,2.11658057011749,1.59466582515884,0.521914744958646
"84","Grand Prairie2",2327.8014757865,2.34328358208955,1.39775676964881,0.687326587518638,0.710430182130174
"85","Grand Rapids",4719.07137070479,2.2888198757764,2.50740742830573,1.81295386676043,0.694453561545293
"86","Grand Turk",2323.47659413501,2.5625,NA,NA,NA
"87","Granja",4601.35008469791,1.47368421052632,NA,NA,NA
"88","Grants Pass",5594.23076594381,2.36,1.97585738022027,1.20811581159905,0.767741568621219
"89","Graz",5536.84230653147,2.44394618834081,1.70770148584413,1.2406810186075,0.467020467236628
"90","Great Falls",2579.71684196673,2.26690391459075,1.04835337088543,0.272109855088531,0.776243515796902
"91","Greeley",3309.56150583245,1.98872180451128,1.45754861892803,0.967666763140737,0.489881855787291
"92","Green Bay",3249.99982983951,2.71884984025559,2.21068521068787,1.91025883692042,0.300426373767453
"93","Green River",1699.53954830365,2.22448979591837,NA,NA,NA
"94","Greeneville",5742.66542382878,1.82051282051282,2.13337465601988,1.95575472714169,0.177619928878189
"95","Greenock",4316.32098793244,2.88804841149773,NA,NA,NA
"96","Greensboro",0,2.01881331403763,1.91949550428675,1.39692188172155,0.522573622565202
"97","Greenville1",4980.13483696887,2.17886178861789,2.69597682557369,2.60126006103331,0.0947167645403815
"98","Greenville2",5894.83469287831,1.80903790087464,1.21456289232463,1.03463905238781,0.179923839936815
"99","Greenville3",4834.19151332507,2.69230769230769,NA,NA,NA
"100","Grenoble",5977.14464096341,2.29032258064516,1.52720146756302,1.06185660074352,0.465344866819503
"101","Griffith",3870.87551487414,2,1.14515739539638,0.357891354182114,0.787266041214268
"102","Groningen",5841.19599045066,2.39762611275964,1.35390907109172,0.954692297727658,0.399216773364063
"103","Grootfontein",3244.78676929478,NA,0.714017753440299,0.128353531619436,0.585664221820863
"104","Groznyy",4187.58174575313,1.81471389645777,1.44774996996526,0.792160130382386,0.655589839582876
"105","Grudziadz",4904.53594852931,2.44,1.78022717453088,1.03737607443488,0.742851100096004
"106","Gryazi",3401.20312947528,2.34259259259259,1.17134026597966,0.468375594877437,0.702964671102224
"107","Guadalajara1",3713.22954273591,1.56417910447761,1.71310323272855,1.22316151140984,0.489941721318704
"108","Guadalajara2",3187.53483790696,1.33333333333333,0.417094585238671,-0.188581125666292,0.605675710904963
"109","Guaira",5567.77238534713,2.1,NA,NA,NA
"110","Guajara-Miram",5372.75690001716,2.278125,NA,NA,NA
"111","Gualeguay",4635.91927281973,1.17910447761194,1.97285550882746,1.46937053535918,0.503484973468278
"112","Gualeguaychu",4975.19572488003,2.31707317073171,1.74482600018382,1.16631951745923,0.578506482724586
"113","Guamuchil",3386.00481810994,1.79310344827586,-0.19595756749791,-0.864434405263649,0.668476837765739
