"city","mean_swater","err"
"Bengbu",1.7831752696735,""
"Bengkulu",2.79425837320574,""
"Beni",1.30322580645161,""
"Beni Mazar",2.20731707317073,""
"Beni Ounif",NA,""
"Beni Suef",2.41618497109827,""
"Benin City",1.5,""
"Benoni",1.90559440559441,""
"Bento Goncalves",1.33333333333333,""
"Benton Harbor",2.79767103347889,""
"Benxi",2.29487179487179,""
"Berber",2.03787878787879,""
"Berbera",2.87179487179487,""
"Berberati",NA,""
"Berdyansk",2.92592592592593,""
"Berekum",1.5,""
"Berezniki",2.15192743764172,""
"Bergamo",2.38644304682041,""
"Bergen",2.96434782608696,""
"Berkeley",2.92900054614964,""
"Berlin",2.66960477679841,""
"Bermejo",1.46153846153846,""
"Bern",2.25735294117647,""
"Berri",2.7,""
"Bertoua",NA,""
"Besalampy",1.8,""
"Besancon",2.19,""
"Betanzos",NA,""
"Bethal",2.18518518518519,""
"Bethanie",2,""
"Bethel",2.31155778894472,""
"Bethlehem",2.4,""
"Bezhetsk",1.95192307692308,""
"Beziers",2.18181818181818,""
"Bhagalpur",1.67697981411059,""
"Bharatpur",1.3147655703289,""
"Bhatpara",1.57100795185902,""
"Bhavnagar",1.93558776167472,""
"Bhilwara",1.58426966292135,""
"Bhisho",2.04761904761905,""
"Bhiwandi",2.03687943262411,""
"Bhiwani",1.34428284854564,""
"Bhopal",1.86288659793814,""
"Bhubaneshwar",1.54716756112105,""
"Bhusawal",1.66808510638298,""
"Biak",2.965,""
"Bialystok",2.08974358974359,""
"Biarritz",2.95705394190871,""
"Bicheno",NA,""
"Bida",NA,""
"Bidar",1.3768115942029,""
"Biel",2.725,""
"Bielefeld",2.09090909090909,""
"Bien Hoa",1.87777023971054,""
"Big Spring",1.70588235294118,""
"Biggar",2,""
"Biharamulo",2,""
"Bijapur",1.7741935483871,""
"Bijar",NA,""
"Bikaner",1.92105263157895,""
"Bikin",2.35135135135135,""
"Bila Tserkva",2.38636363636364,""
"Bilaspur",1.59298298449029,""
"Bilbao",2.83732057416268,""
"Billings",1.86315789473684,""
"Biloela",1.6,""
"Biloxi",2.86723768736617,""
"Biltine",2,""
"Binghamton",2.13734939759036,""
"Binjai",1.70929776382895,""
"Bintulu",2.19339622641509,""
"Birak",NA,""
"Birao",NA,""
"Biratnagar",1.26312747449643,""
"Birganj",1.1697097645403,""
"Birjand",1.4,""
"Birmingham1",2.07015650296816,""
"Birmingham2",2.13124108416548,""
"Birni Nkonni",NA,""
"Birnin Kebbi",1.4375,""
"Birobidzhan",2.13315217391304,""
"Birsk",1.88095238095238,""
"Biryusinsk",2.41666666666667,""
"Bishkek",1.91796875,""
"Bishop",NA,""
"Biskra",1.61538461538462,""
"Bismarck",2.02298850574713,""
"Bissau",2.35371179039301,""
"Bitam",NA,""
"Bitola",2,""
"Biu",NA,""
"Biysk",2.39690721649485,""
"Bizerte",2.94609814963797,""
"Blackpool",2.57932263814617,""
"Blacksburg",1.34782608695652,""
"Blagodarnyy",1,""
"Blagoveshchensk",2.3905325443787,""
"Blantyre",1.77338803174886,""
"Blenheim",NA,""
"Blitar",2.62082459818309,""
"Bloemfontein",1.6734693877551,""
"Bloemhof",2.11111111111111,""
"Bloomington1",1.65625,""
"Bloomington2",2.11347517730496,""
"Bluefields",2.875,""
"Blumenau",2.00584795321637,""
"Bo",1,""
"Boa Vista",1.72715053763441,""
"Boaco",1.5,""
"Bobo Dioulasso",3,""
"Bocaiuva",1.66666666666667,""
"Bocas del Toro",2.55555555555556,""
"Bodo",2.98444444444444,""
"Boende",2.2,""
"Bogor",1.47580015612802,""
"Bogoroditsk",2.23529411764706,""
"Bogota",2.04362416107383,""
"Bogotol",1.61111111111111,""
"Bogue",1.79310344827586,""
"Boise",2.10526315789474,""
"Bojnurd",1.4,""
"Boke",2,""
"Bol",1.94117647058824,""
"Bolama",1.975,""
"Bolgatanga",1.8,""
"Boli",1.58823529411765,""
"Bollnas",2.80833333333333,""
"Bolobo",2.28571428571429,""
"Bologna",1.82352941176471,""
"Bologoye",2.83185840707965,""
"Bolu",1.54545454545455,""
"Bolzano",2.15238095238095,""
"Boma",2,""
"Bondo",2.13513513513514,""
"Bondoukou",NA,""
"Bongandanga",NA,""
"Bongaree",2.87142857142857,""
"Bongor",1.9,""
"Bonn",2.49884259259259,""
"Boorama",2,""
"Boosaaso",2.69230769230769,""
"Boras",2.5,""
"Bordeaux",2.51219512195122,""
"Bordertown",NA,""
"Borisoglebsk",1.9922480620155,""
"Borlange",2.62361623616236,""
"Borovichi",2.23584905660377,""
"Borzya",1.4,""
"Bose",2.30456852791878,""
"Bosobolo",NA,""
"Bossangoa",2.05882352941176,""
"Bossembele",NA,""
"Boston",2.58152354878094,""
"Botosani",2.25,""
"Botucatu",1.25,""
"Bouake",1.57142857142857,""
"Bouar",2,""
"Bougouni",2,""
"Bouira",1.64285714285714,""
"Boulder",2.18333333333333,""
"Boulder City",3,""
"Bourges",2.3125,""
"Bournemouth",2.89450788471996,""
"Boutilimit",NA,""
"Bowling Green1",1.6283185840708,""
"Bowling Green2",1.74193548387097,""
"Bozeman",2.5,""
"Bozoum",NA,""
"Bradford",2.3719806763285,""
"Braga",2.44339622641509,""
"Braganca",2.37931034482759,""
"Braganca Paulista",1.8135593220339,""
"Brahmapur",2.47532697289442,""
"Brainerd",2.37546468401487,""
"Brandfort",NA,""
"Brandon",1.47244094488189,""
"Brasilia",2.58421052631579,""
"Brasov",1,""
"Bratislava",2.72177419354839,""
"Bratsk",2.44144144144144,""
