"","city","mean_ndvi","mean_surface_water","mean_uhi_DayNight","mean_uhi_daytime","mean_uhi_Nighttime"
"1","Port Arthur",4432.59529858833,2.3875,3.78822574213474,2.63004955830455,1.15817618383019
"2","Port Augusta",1814.89449781814,2.23300970873786,-1.18994782331606,-1.33579187707768,0.14584405376162
"3","Port Blair",5065.46983661838,2.67785234899329,NA,NA,NA
"4","Port Charlotte",5448.5385335216,2.51582278481013,3.1086775152622,2.32104635269634,0.787631162565863
"5","Port Douglas",6182.31655844156,2.375,NA,NA,NA
"6","Port Elizabeth",4064.25391188931,2.82211789254043,0.666791639933929,0.28313248597543,0.383659153958499
"7","Port Harcourt",3927.00407253506,2.20517676767677,2.74097885580692,2.20331858263042,0.537660273176503
"8","Port Hardy",5032.52561549123,2.66666666666667,NA,NA,NA
"9","Port Hedland",1803.08870360295,1.3,-0.196498941164465,-0.624818691518158,0.428319750353694
"10","Port Hope Simpson",2061.3529314888,3,NA,NA,NA
"11","Port Lavaca",4039.2900894586,1.80327868852459,0.536431682975711,0.305642578348115,0.230789104627596
"12","Port Lincoln",3105.16946861172,2.66355140186916,-0.111460133079202,-0.65740514134473,0.545945008265528
"13","Port Louis",5884.23311481993,2.59176863181313,1.17664680453313,0.746432111108252,0.430214693424878
"14","Port Macquarie",4996.01645480031,2.72043010752688,0.413271705590887,0.448582686658483,-0.0353109810675962
"15","Port Moresby",4752.43188015481,2.18222222222222,0.229448144562287,-0.0982598829694543,0.327708027531741
"16","Port Pirie",2496.13182831661,2.25,2.66683662354759,2.73291528515471,-0.0660786616071215
"17","Port Shepstone",6337.10473575685,2.63333333333333,NA,NA,NA
"18","Port Sudan",846.761900153486,2.16256157635468,0.430305589684377,0.315252844134675,0.115052745549702
"19","Port-Gentil",2458.44562444165,2.88785046728972,2.48000791686034,2.64550908319243,-0.165501166332083
"20","Port-Vila",5244.58932673427,2.89333333333333,NA,NA,NA
"21","Port-au-Prince",4165.80955129549,2.75326264274062,2.06180547219056,2.23985209134909,-0.178046619158525
"22","Port-of-Spain",5762.57777889443,2.49554896142433,1.90523841608815,1.97696125799977,-0.0717228419116204
"23","Portachuelo",0,1,NA,NA,NA
"24","Portel",3295.75,2.5,NA,NA,NA
"25","Portimao",0,2.90625,0.182118448362943,0.110133216103637,0.0719852322593063
"26","Portland1",4932.17302408443,2.60585885486019,0.928277397987215,0.949222798739639,-0.0209454007524236
"27","Portland2",5731.6897820577,2.53372722796652,1.64693467130524,1.14311475667572,0.503819914629523
"28","Portland3",5335.77701000844,2.61797752808989,-0.394866482700621,-0.589280692310561,0.19441420960994
