"city","mean_swater","err"
"Aalborg",2.67223382045929,""
"Aarhus",2.91659751037344,""
"Aba",1.39285714285714,""
"Abadan",1.91559633027523,""
"Abaetetuba",2.05555555555556,""
"Abai",NA,""
"Abakan",2.15803814713896,""
"Abancay",2,""
"Abau",NA,""
"Abaza",2.53191489361702,""
"Abbottabad",2.33194502290712,""
"Abeche",1.6,""
"Abengourou",1.73684210526316,""
"Abeokuta",2.07166123778502,""
"Aberdeen1",1.66666666666667,""
"Aberdeen2",2.89227166276347,""
"Aberdeen3",2.47883597883598,""
"Abha",2.625,""
"Abidjan",2.5890926187118,""
"Abilene",1.99134199134199,""
"Abohar",1.37919013140252,""
"Abomey",1.88697788697789,""
"Abong Mbang",NA,""
"Abra Pampa",2,""
"Abu Dhabi",2.4472,""
"Abu Kamal",1.62043795620438,""
"Abuja",1.93243243243243,""
"Acapulco",2.88771929824561,""
"Acarau",1.66666666666667,""
"Acarigua",1.19101123595506,""
"Acatlan",NA,""
"Accra",2.86216498433693,""
"Achinsk",2.27011494252874,""
"Acu",1,""
"Ad Dakhla",2.95833333333333,""
"Ad Damman",2.44605413648494,""
"Ad Diwaniyah",1.21910112359551,""
"Ad Nabk",NA,""
"Adana",1.82889733840304,""
"Adapazari",1.72297297297297,""
"Addis Ababa",2.34631147540984,""
"Adelaide",2.66247755834829,""
"Aden",2.5597667638484,""
"Adi Ugri",2.29493087557604,""
"Adigrat",1.5,""
"Adiyaman",1.99328859060403,""
"Ado Ekiti",1.84183673469388,""
"Adrar",NA,""
"Afyon",2.375,""
"Agadez",2,""
"Agadir",2.9048473967684,""
"Agana",2.95468914646997,""
"Agartala",1.50636786494479,""
"Agboville",2,""
"Agen",2.44375,""
"Agordat",2,""
"Agra",1.58722741433022,""
"Agri",1.65753424657534,""
"Agrinio",2.22727272727273,""
"Agua Prieta",1.8,""
"Aguascalientes",1.67088607594937,""
"Ahar",NA,""
"Ahmadabad",1.56333165503848,""
"Ahmednagar",1.34210526315789,""
"Ahwaz",1.64977307110439,""
"Aigua",2,""
"Aiken",2,""
"Aiquile",NA,""
"Aix-en-Provence",1.75,""
"Aizawl",NA,""
"Ajaccio",2.98648648648649,""
"Ajdabiya",NA,""
"Ajmer",1.52631578947368,""
"Aketi",2,""
"Akhtubinsk",2.22916666666667,""
"Akita",2.72404730617608,""
"Akola",1.6145251396648,""
"Akron",2.16546762589928,""
"Aksu",1.35983263598326,""
"Aksum",1.85714285714286,""
"Akureyi",2.98780487804878,""
"Al Ahmadi",1.88888888888889,""
"Al Amarah",1.24142480211082,""
"Al Ayn",1.625,""
"Al Bayda",NA,""
"Al Fallujah",1.49565217391304,""
"Al Fujayrah",2.50515463917526,""
"Al Hasakah",1.83333333333333,""
"Al Hillah",1.51020408163265,""
"Al Hudaydah",2.78867924528302,""
"Al Hufuf",1.31034482758621,""
"Al Jaghbub",NA,""
"Al Jahra",2.04918032786885,""
"Al Jawf",NA,""
"Al Jubayl",2.61728395061728,""
"Al Karak",2,""
"Al Khalil",1,""
"Al Kharj",1.88888888888889,""
"Al Khums",2.9620253164557,""
"Al Kut",1.7907949790795,""
"Al Ladhiqiyah",2.88317757009346,""
"Al Marj",2.5,""
"Al Mubarraz",1.2,""
"Al Mukalla",2.62931034482759,""
"Al Musayyib",1.925,""
"Al Qamishli",1.5,""
"Al Qunaytirah",1.85714285714286,""
"Al Quwayiyah",2,""
"Al Wajh",2.86,""
"Al-Qatif",1.84339314845024,""
"Alagoinhas",1.71428571428571,""
"Alajuela",1.68421052631579,""
"Alamogordo",NA,""
"Alapayevsk",2.40449438202247,""
"Alatyr",1.89312977099237,""
"Alayat Samail",2,""
"Albacete",1.57142857142857,""
"Albany1",1.67676767676768,""
"Albany2",2.22303921568627,""
"Albany3",2.29591836734694,""
"Albany4",2.23809523809524,""
"Albert Lea",2.55294117647059,""
"Albuquerque",1.79283887468031,""
"Albury",1.79738562091503,""
"Aldama",1,""
"Aldan",1.44117647058824,""
"Aleksandrovsk",2.41666666666667,""
"Alekseyevka",1.94117647058824,""
"Aleksin",2.29473684210526,""
"Aleppo",1.46153846153846,""
"Alexandria1",1.92067620286086,""
"Alexandria2",2.37798036465638,""
"Alexandria3",2.73458631662689,""
"Alexandroupoli",2.625,""
"Aleysk",1.78488372093023,""
"Algeciras",2.79741379310345,""
"Algha",1.76923076923077,""
"Algiers",2.91785840917149,""
"Ali Bayramli",1.22885572139303,""
"Ali Sabih",2,""
"Alicante",2.96890424481737,""
"Alice",1.3,""
"Alice Springs",1.25,""
"Aligarh",1.34654940066671,""
"Alipur Duar",1.57485719068444,""
"Aliwal North",1.9375,""
"Allahabad",1.563335467862,""
"Allanmyo",2.08860759493671,""
"Allappey",2.30577065517474,""
"Allende",1.66666666666667,""
"Allentown",1.96,""
"Alliance",1,""
"Almaty",1.88590604026846,""
"Almenara",2.03703703703704,""
"Almeria",2.88235294117647,""
"Almetyevsk",2.32307692307692,""
"Almirante",1,""
"Alor Setar",1.72863051470588,""
"Alotau",2.87037037037037,""
"Alpena",2.6710182767624,""
"Alpine",NA,""
"Alta Gracia",2.2,""
"Altagracia de Orituco",1.38461538461538,""
"Altamira",2.43283582089552,""
"Altay",1.69565217391304,""
"Alton",1.79074889867841,""
"Altoona",1.64285714285714,""
"Alvorada",NA,""
"Alwar",1.15429553264605,""
"Alxa Zuoqi",2.3,""
"Am Timan",1.33333333333333,""
"Amahai",2.95348837209302,""
"Amapa",1.1875,""
"Amarillo",1.75135135135135,""
"Amasya",2.59259259259259,""
"Ambala",1.2977067977068,""
"Ambanja",2.15384615384615,""
"Ambato",1.71428571428571,""
"Ambatondrazaka",1.96551724137931,""
"Ambon",2.76975945017182,""
"Amderma",2.625,""
"Americana",1.85223367697595,""
"Ames",2.03571428571429,""
"Amherst",2,""
"Amiens",2.00862068965517,""
"Amman",1.72619047619048,""
"Ammochostos",2.87671232876712,""
"Amol",1.17171717171717,""
"Amos",2.6,""
"Amravati",1.68831168831169,""
"Amritsar",1.55768660588541,""
"Amsterdam",2.58162066940693,""
"Amursk",2.59770114942529,""
"An Najaf",1.37101449275362,""
"An Nasiriyah",1.18447837150127,""
"Anaco",1.03448275862069,""
"Anapolis",1.98666666666667,""
"Anatuya",2,""
"Anbyon",2.44615384615385,""
"Anchorage",2.72011521843495,""
"Ancona",2.95717884130982,""
"Ancud",2.85470085470085,""
"Anda",1.90804597701149,""
"Anderson",2.03333333333333,""
"Andijon",1.46349353049908,""
"Andkhvoy",1.4,""
"Andoany",2.21428571428571,""
"Andong",2.23611111111111,""
"Andorra",2.66666666666667,""
"Andradina",1.25,""
"Androka",NA,""
"Angangxi",1.47183098591549,""
"Angarsk",2.28703703703704,""
"Angeles",2.34101314429183,""
"Angers",2.08421052631579,""
"Angoche",2.12352941176471,""
"Angol",1.5,""
"Angra do Heroismo",1.72727272727273,""
"Angren",1.35458167330677,""
"Ankang",2.20385852090032,""
"Ankara",1.73952095808383,""
"Anlu",1.70324971493729,""
"Ann Arbor",2.1335453100159,""
"Anna Regina",1.5,""
"Annaba",2.84668389319552,""
"Annapolis",2.75879396984925,""
"Annecy",2.89263803680982,""
"Anqing",1.91087811271298,""
"Ansan",1.59861932938856,""
"Anshan",1.54948805460751,""
"Anshun",1.97812773403325,""
"Antalaha",2.93023255813953,""
"Antalya",2.94217024041585,""
"Antananarivo",1.92774086378738,""
"Antigonish",1.9,""
"Antofagasta",2.98214285714286,""
