"city","mean_swater","err"
"Lithgow",2.66666666666667,""
"Little Current",2.85714285714286,""
"Little Rock",2.07176391683434,""
"Liuhe",2,""
"Liuzhou",2.21006776379477,""
"Liverpool1",2.5,""
"Liverpool2",2.66666666666667,""
"Livingston",2.85714285714286,""
"Livingstone",2,""
"Livny",2.40909090909091,""
"Livorno",2.87626262626263,""
"Ljubljana",2.28,""
"Lobamba",1,""
"Lobatse",2,""
"Lobito",2.34210526315789,""
"Lobos",2,""
"Lodwar",1.66304347826087,""
"Lodz",2.10550458715596,""
"Loei",1.77906976744186,""
"Logan",2.11111111111111,""
"Logrono",2.4375,""
"Loja",2,""
"Lokoja",2.375,""
"Lome",2.88905051573658,""
"Lomza",1.95652173913043,""
"Loncoche",2,""
"London1",1.9153605015674,""
"London2",2.61122336517267,""
"Londonderry",2.56363636363636,""
"Londrina",1.62365591397849,""
"Long Beach",2.93338919145371,""
"Long Xuyen",1.51708037112905,""
"Longjiang",1.87931034482759,""
"Longreach",1,""
"Longview1",1.97619047619048,""
"Longview2",2.71386430678466,""
"Longxi",1.56213017751479,""
"Longyan",1.685,""
"Lop Buri",1.50865051903114,""
"Lorca",2.3,""
"Loreto",NA,""
"Lorica",1.51834862385321,""
"Lorient",2.78245614035088,""
"Los Alamos",2,""
"Los Andes",1.66666666666667,""
"Los Angeles1",2.94351367746035,""
"Los Angeles2",1.875,""
"Los Blancos",2,""
"Los Lagos",2.5,""
"Los Mochis",1.4,""
"Los Teques",1.625,""
"Lota",2.94957983193277,""
"Louangphrabang",2.56692913385827,""
"Loubomo",2.4,""
"Louga",1,""
"Louisville",2.19073705179283,""
"Lowell",1.93535803845082,""
"Luan",1.71418363701322,""
"Luanda",2.82555066079295,""
"Luanshya",2.08163265306122,""
"Luau",NA,""
"Lubango",2,""
"Lubao",NA,""
"Lubbock",1.69709543568465,""
"Lubeck",2.27171903881701,""
"Lublin",2.703125,""
"Lubumbashi",2.04477611940298,""
"Lubutu",NA,""
"Lucapa",1,""
"Lucknow",1.46364033061245,""
"Ludhiana",1.49924454996762,""
"Luebo",NA,""
"Luena",1.5,""
"Lufkin",1.68918918918919,""
"Luga",1.88888888888889,""
"Lugano",2.97586206896552,""
"Luganville",2.45454545454545,""
"Luhansk",1.77272727272727,""
"Lujan",1.66666666666667,""
"Lulea",2.72188449848024,""
"Luleburgaz",2,""
"Lumberton",2.06185567010309,""
"Lundazi",3,""
"Luohe",1.72340425531915,""
"Luoyang",1.87139670555937,""
"Lupanshui",1.75171232876712,""
"Lusaka",1.88888888888889,""
"Lusambo",2.5625,""
"Lusanga",NA,""
"Luton",2.22105263157895,""
"Lutselke",2.75,""
"Lutsk",1.40495867768595,""
"Luwuk",2.95731707317073,""
"Luxembourg",2.08,""
"Luxor",2.41176470588235,""
"Luzern",2.84813753581662,""
"Luzhou",1.79066543438078,""
"Lvov",2.2987012987013,""
"Lynchburg",1.96960486322188,""
"Lyon",2.39470443349754,""
"Lysychansk",2.15,""
"Maanshan",1.6182996758913,""
"Mabaruma",1.75,""
"Macae",2.84476534296029,""
"Macapa",1.69686411149826,""
"Macara",NA,""
"Macas",1.41666666666667,""
"Macau",1.90978115230013,""
"Maceio",1.97086047308879,""
"Macenta",NA,""
"Machakos",1.5,""
"Machala",2.20382165605096,""
"Macheng",1.90103981583054,""
"Machilipatnam",2.15271408213499,""
"Machiques",1,""
"Macia",NA,""
"Mackay",2.22377622377622,""
"Macon",1.78389830508475,""
"Madang",2.64736842105263,""
"Madaoua",1,""
"Madinat ath Thawrah",2.82795698924731,""
"Madison",2.69344042838019,""
"Madisonville",2.06818181818182,""
"Madiun",1.74567383324594,""
"Madrid",2.1380846325167,""
"Madurai",2.32244021796238,""
"Mae Sot",1.72131147540984,""
"Maebashi",1.53828571428571,""
"Mafetang",2.37037037037037,""
"Magadan",2.775,""
"Magangue",1.80676328502415,""
"Magdagachi",1.77777777777778,""
"Magdalena",1.875,""
"Magdeburg",1.70431893687708,""
"Magelang",1.77551020408163,""
"Magnitogorsk",2.27893175074184,""
"Magway",1.79518072289157,""
"Mahabad",1.55555555555556,""
"Mahajanga",2.66666666666667,""
"Mahalapye",2,""
"Mahilyow",2.30208333333333,""
"Maiduguri",2.29887640449438,""
"Maintirano",1.57142857142857,""
"Maiquetia",2.98720682302772,""
"Maitland",1.89583333333333,""
"Maizaru",2.82352941176471,""
"Majene",2.73541570969224,""
"Majuro",2.8,""
"Makale",1.6,""
"Makarov",2.25925925925926,""
"Makeni",NA,""
"Makhachkala",2.82878228782288,""
"Makhambet",1.95454545454545,""
"Makinsk",1.63636363636364,""
"Makiyivka",2.20792079207921,""
"Makkah",1.89090909090909,""
"Makokou",1.83333333333333,""
"Makoua",1.81818181818182,""
"Makurdi",2.13321799307958,""
"Malabo",NA,""
"Malacca",2.64232872306208,""
"Maladzyechna",1,""
"Malaga",2.9022869022869,""
"Malakal",1.82352941176471,""
"Malang",2.67162703860304,""
"Malanje",1,""
"Malargue",NA,""
"Malatya",1.92857142857143,""
"Maldonado",2.4421768707483,""
"Male",2.51612903225806,""
"Malegaon",1.49576271186441,""
"Malindi",1.48333333333333,""
"Mallawi",2.15164644714038,""
"Malmo",2.87661406025825,""
"Mamou",NA,""
"Man",NA,""
"Manacapuru",2.22988505747126,""
"Manado",2.86394557823129,""
"Managua",2.45789473684211,""
"Manama",2.52231121281465,""
"Mananjary",2.41463414634146,""
"Manaus",2.4692417739628,""
"Manbij",NA,""
"Manchester1",2.06766169154229,""
"Manchester2",2.22928399034594,""
"Mandalay",1.97884344146685,""
"Mandalgovi",1.2,""
"Mandali",NA,""
"Mandera",1,""
"Mandritsara",2,""
"Mandurah",2.41772151898734,""
"Mandya",1.55980861244019,""
"Mangai",NA,""
"Mangalore",2.77899877899878,""
"Mango",1.875,""
"Mangochi",2.73991557223265,""
"Manhattan",1.765625,""
"Manicore",2.82142857142857,""
"Manila",2.65734019578929,""
"Manisa",1.08152173913043,""
"Manizales",1.66666666666667,""
"Manja",NA,""
"Manjimup",1.22222222222222,""
"Mankato",2.04347826086957,""
"Mannheim",2.5542382928275,""
"Manokwari",2.72093023255814,""
"Manono",2.43636363636364,""
"Manpo",2.2787610619469,""
"Mansa",1,""
"Mansehra",1.84684684684685,""
"Mansfield",1.95402298850575,""
"Manta",2.88304093567251,""
"Manukau",2.68140794223827,""
"Manyoni",1,""
"Manzanillo1",2.61824324324324,""
"Manzanillo2",2.96261682242991,""
"Manzhouli",1.89583333333333,""
"Mao",NA,""
"Maoming",2.13885438918973,""
"Mapai",NA,""
"Maputo",2.51433536055604,""
"Maqat",1.8314606741573,""
"Mar de Ajo",2.4037558685446,""
"Mar del Plata",2.36835278858625,""
"Maraba",2.24161073825503,""
"Maracaibo",2.75357443229605,""
"Maracaju",1,""
"Maradi",1.91304347826087,""
"Maragheh",2.25,""
"Marbella",2.99489322191272,""
"Mardan",1.58518712378958,""
"Mardin",NA,""
"Maria Elena",1,""
"Maribor",2.71929824561404,""
"Maridi",NA,""
"Mariental",1.5,""
"Marietta",2.06017383552485,""
"Mariinsk",2.04166666666667,""
"Marilia",1.61538461538462,""
"Marinette",2.69548872180451,""
"Maringa",1.56756756756757,""
"Marion",1.96428571428571,""
"Mariupol",2.91957104557641,""
"Markala",2.33333333333333,""
"Maroantsetra",2.24271844660194,""
"Maroua",1.63636363636364,""
"Marovoay",1.65789473684211,""
"Marquette",2.69677419354839,""
"Marrakesh",1.83018867924528,""
"Marrupa",NA,""
"Marsabit",NA,""
"Marsala",2.93478260869565,""
"Marseille",2.96896470030798,""
"Martapura",1.40140227870289,""
"Mary",1.48826291079812,""
"Mary borough",2.64197530864198,""
"Maryborough",2.6,""
"Marzuq",NA,""
"Masaka",2.88372093023256,""
"Masan",2.63888888888889,""
"Masasi",1,""
"Mascara",NA,""
"Maseru",1.97457627118644,""
"Mashhad",2.04255319148936,""
"Masindi-Port",NA,""
"Masjed Soleyman",1.29268292682927,""
"Mason City",2.23611111111111,""
"Massawa",2.50490196078431,""
"Masterton",1.89473684210526,""
"Masvingo",2,""
"Matadi",1.88888888888889,""
"Matagalpa",2,""
"Matagami",2.3125,""
"Matamoros",1.46488095238095,""
"Matanzas",2.90332326283988,""
"Matara",2.76178427513823,""
"Mataram",2.44043321299639,""
"Mataro",2.96491228070175,""
"Matehuala",1.75,""
"Mathura",1.33491161616162,""
"Mato Grosso",1.25,""
"Matola",2.31527093596059,""
"Matruh",2.79130434782609,""
"Matsue",2.79967948717949,""
"Matsumoto",1.61904761904762,""
"Matsuyama",2.64128843338214,""
"Maturin",1.26666666666667,""
"Maues",2.51162790697674,""
"Maumere",2.98730395817774,""
"Maun",1.64814814814815,""
"Mawlamyine",2.58048780487805,""
"Maxixe",2.33164556962025,""
"May Pen",1.35416666666667,""
"Mayaguez",2.96245193395159,""
"Maykop",2.2,""
"Mazabuka",1.375,""
"Mazar-e Sharif",1.16345270890725,""
"Mazatenango",NA,""
"Mazatlan",2.38550247116969,""
"Mazyr",2.28378378378378,""
"Mbabane",NA,""
"Mbaiki",NA,""
"Mbala",2.66666666666667,""
"Mbale",1.625,""
"Mbalmayo",1.95238095238095,""
"Mbandaka",2.49532710280374,""
"Mbanza-Congo",NA,""
"Mbanza-Ngungu",1.34782608695652,""
"Mbarara",1.56756756756757,""
"Mbe",NA,""
"Mbeya",2.25,""
"Mbuji-Mayi",1.80821917808219,""
"Mbulu",1,""
"McAlester",1.88157894736842,""
"McAllen",1.63157894736842,""
"McCook",2,""
"McGrath",2.875,""
"Meadow Lake",1.68,""
"Medan",2.45814224640497,""
"Medani",1.91959798994975,""
"Medea",2,""
"Medellin",1.80412371134021,""
"Medford",1.80392156862745,""
"Medicine Hat",2.42957746478873,""
"Medina",1.83870967741935,""
"Medinipur",1.5298858657435,""
"Mednogorsk",2,""
"Meekatharra",NA,""
"Meerut",1.34638411848117,""
"Megion",1.97109826589595,""
"Meiganga",NA,""
"Meizhou",2.01133786848073,""
"Mejillones",3,""
"Mekambo",NA,""
"Mekele",1.5625,""
"Meknes",2.18518518518519,""
"Mekoryuk",2,""
"Melbourne1",2.60328820116054,""
"Melbourne2",2.85779460298971,""
"Melekeok",2.98529411764706,""
"Melilla",2.90285714285714,""
"Melitopol",1.5,""
"Melo",1.5,""
"Melton",2.23809523809524,""
"Melun",2.33522727272727,""
"Melut",NA,""
"Melville",2.24324324324324,""
"Memphis",2.00276548672566,""
"Mendi",1.28571428571429,""
"Mendocino",2.66666666666667,""
"Mendoza",1.8134328358209,""
"Mengzi",1.92793791574279,""
"Meningie",NA,""
"Menongue",1.72222222222222,""
"Merauke",2.07079646017699,""
"Merced",1.32773109243697,""
"Mercedes1",1.2,""
"Mercedes2",1.3125,""
"Mercedes3",2.73333333333333,""
"Mercedes4",2,""
"Merida",1.51020408163265,""
"Meridian",2,""
"Merimbula",2.5,""
"Merowe",2.86666666666667,""
"Merredin",2.4,""
"Meru",2.07047619047619,""
"Mesa",1.71764705882353,""
"Messina",2.99526547176192,""
"Metairie",2.31756533245121,""
"Metz",2.48275862068966,""
"Mexicali",1.92670157068063,""
"Mexico City",1.9277885235332,""
"Meymaneh",1.35294117647059,""
"Mezen",2,""
"Miahuatlan",NA,""
"Miami",2.15418351654611,""
"Miami Beach",2.70059880239521,""
"Miandrivazo",1.7741935483871,""
"Mianyang",1.91246805403432,""
"Miass",2.58181818181818,""
"Michurinsk",2.0327868852459,""
"Middelburg1",NA,""
"Middelburg2",2,""
"Middlesbrough",2.73338150289017,""
"Midland",1.6,""
"Mikhaylovka",2.14814814814815,""
"Mikumi",NA,""
"Milagro",1.23076923076923,""
"Milan",1.99157127991675,""
"Mildura",2.03448275862069,""
"Miles City",1.90322580645161,""
"Millerovo",2.4,""
"Milwaukee",2.32334781614452,""
"Minas",1.66666666666667,""
"Minatitlan",1.4932735426009,""
"Mindelo",2.92957746478873,""
"Mineiros",2.25,""
