"city","mean_swater","err"
"Port Arthur",2.3875,""
"Port Augusta",2.23300970873786,""
"Port Blair",2.67785234899329,""
"Port Charlotte",2.51582278481013,""
"Port Douglas",2.375,""
"Port Elizabeth",2.82211789254043,""
"Port Harcourt",2.20517676767677,""
"Port Hardy",2.66666666666667,""
"Port Hedland",1.3,""
"Port Hope Simpson",3,""
"Port Lavaca",1.80327868852459,""
"Port Lincoln",2.66355140186916,""
"Port Louis",2.59176863181313,""
"Port Macquarie",2.72043010752688,""
"Port Moresby",2.18222222222222,""
"Port Pirie",2.25,""
"Port Shepstone",2.63333333333333,""
"Port Sudan",2.16256157635468,""
"Port-Gentil",2.88785046728972,""
"Port-Vila",2.89333333333333,""
"Port-au-Prince",2.75326264274062,""
"Port-of-Spain",2.49554896142433,""
"Portachuelo",1,""
"Portel",2.5,""
"Portimao",2.90625,""
"Portland1",2.60585885486019,""
"Portland2",2.53372722796652,""
"Portland3",2.61797752808989,""
"Porto",2.92902105491643,""
"Porto Alegre",1.78731808731809,""
"Porto Nacional",2.76923076923077,""
"Porto Santana",1.48148148148148,""
"Porto Seguro",2.67469879518072,""
"Porto Uniao",1.8936170212766,""
"Porto Velho",1.53781512605042,""
"Porto-Novo",2.09623430962343,""
"Portoviejo",1.88888888888889,""
"Portsmouth",2.86729301233118,""
"Porvoo",2.09467455621302,""
"Posadas",2.89833333333333,""
"Poso",2.84615384615385,""
"Potchefstroom",1.35294117647059,""
"Poti",2.63128491620112,""
"Potiskum",1,""
"Potosi",2.16666666666667,""
"Potsdam",2.82584269662921,""
"Poughkeepsie",2.42795698924731,""
"Pouso Alegre",1.2751677852349,""
"Powell",1.25,""
"Powell River",2.84444444444444,""
"Poza Rica de Hidalgo",1.49056603773585,""
"Poznan",2.34448160535117,""
"Prachin Buri",1.33441558441558,""
"Prague",2.53765690376569,""
"Praia",2.64556962025316,""
"Praya",2.899843838728,""
"Prescott",1.89795918367347,""
"Presidencia Roque Saenz Pena",1.61458333333333,""
"Presidente Prudente",1.421875,""
"Presov",2,""
"Pretoria",2.00448430493274,""
"Price",1.5,""
"Prieska",2.2,""
"Prijedor",1.76041666666667,""
"Prince Albert",2.11525423728814,""
"Prince George",2.62666666666667,""
"Principe da Beira",2.25,""
"Pristina",1.78571428571429,""
"Prizren",NA,""
"Probolinggo",2.79045307443366,""
"Proddatur",1.64397905759162,""
"Progreso",2.35294117647059,""
"Progress",NA,""
"Prokopyevsk",1.75800711743772,""
"Proserpine",1,""
"Providence",2.58193105701683,""
"Provideniya",2.92857142857143,""
"Provo",2.67525773195876,""
"Przemysl",2.09278350515464,""
"Pskov",2.5,""
"Pucallpa",1.53493449781659,""
"Puebla",1.64126984126984,""
"Pueblo",1.82843137254902,""
"Puerto Aisen",2.578125,""
"Puerto Armuelles",2.82539682539683,""
"Puerto Ayacucho",2.36190476190476,""
"Puerto Baquerizo Moreno",2.57692307692308,""
"Puerto Barrios",2.32203389830508,""
"Puerto Berrio",2.06976744186047,""
"Puerto Cabezas",2.70769230769231,""
"Puerto Carreno",1.74358974358974,""
"Puerto Deseado",2.69230769230769,""
"Puerto Escondido",2.80701754385965,""
"Puerto Lempira",3,""
