"","city","mean_ndvi","mean_surface_water","mean_uhi_DayNight","mean_uhi_daytime","mean_uhi_Nighttime"
"1","Zlatoust",3776.79775807427,2.32142857142857,1.44315327731455,1.2822860070823,0.160867270232247
"2","Zlin",5211.94153567,2.25,1.88039308589697,1.70146213686466,0.178930949032307
"3","Zmeinogorsk",3079.06607664547,2.875,NA,NA,NA
"4","Zomba",4840.93179198273,1.41070866141732,-0.574119577041039,-0.643483854257143,0.0693642772161042
"5","Zongo",5123.87073864334,2.36363636363636,0.767504179384559,-0.305181464646012,1.07268564403057
"6","Zonguldak",6105.06042871433,2.97283531409168,0.0236935804584869,-0.0232565602544339,0.0469501407129209
"7","Zouar",951.559782608696,NA,NA,NA,NA
"8","Zouirat",852.445990338164,2,NA,NA,NA
"9","Zrenjanin",4495.62810501623,1.91549295774648,1.38541130969157,0.241022683506254,1.14438862618531
"10","Zumpango",3631.33638974182,2.54278728606357,1.87839793753271,1.06055035927282,0.817847578259884
"11","Zunyi",4870.34832667497,1.60229938995777,1.081934664442,0.441840209154009,0.640094455287993
"12","Zuozhou",3654.07419263341,1.8,NA,NA,NA
"13","Zuwarah",1184.01060695875,2.86363636363636,-1.81588389968965,-1.92780419470122,0.111920295011563
"14","Zvishavane",4322.52111504057,1.33333333333333,-0.167759734301422,-0.145340874958306,-0.0224188593431161
"15","Zvolen",5106.31585801302,2.3125,0.951766543742767,0.763377832577509,0.188388711165258
"16","Zwedru",5181.01584541063,NA,NA,NA,NA
"17","Zyryanovsk",2866.85967205188,2.08219178082192,NA,NA,NA
