"city","mean_swater","err"
"Kadugli",2,""
"Kaduna",2.003663003663,""
"Kaedi",1.93877551020408,""
"Kaesong",2.29109589041096,""
"Kafue",1.55,""
"Kaga Bandoro",NA,""
"Kagoshima",2.90541632983023,""
"Kahama",1.76,""
"Kahramanmaras",1,""
"Kaiapoi",2.35294117647059,""
"Kaifeng",1.36652394702778,""
"Kailu",NA,""
"Kaka",NA,""
"Kakamega",1.9390243902439,""
"Kakinada",2.13348187929688,""
"Kakonko",1.5,""
"Kaktovik",3,""
"Kalachinsk",2.18181818181818,""
"Kalamata",2.98064516129032,""
"Kalamazoo",2.28571428571429,""
"Kalemie",2.68888888888889,""
"Kalgoorlie",1.85714285714286,""
"Kalima",NA,""
"Kaliningrad",2.4342762063228,""
"Kalispell",2.335,""
"Kalisz",2.58571428571429,""
"Kalmar",2.58656330749354,""
"Kaluga",2.54,""
"Kalyan",2.14316761749525,""
"Kambove",NA,""
"Kamenka",2.14285714285714,""
"Kamenna Obi",2.53125,""
"Kamensk Shakhtinskiy",2.68292682926829,""
"Kamensk Uralskiy",2.21951219512195,""
"Kamina",1.5,""
"Kamloops",2.53351206434316,""
"Kampala",2.88806385743456,""
"Kampene",NA,""
"Kampong Cham",2.01273885350318,""
"Kampot",1.89097744360902,""
"Kamsar",2.32773109243697,""
"Kamyanets-Podilskyy",1.77777777777778,""
"Kamyshin",2.94426229508197,""
"Kanab",NA,""
"Kananga",1.91764705882353,""
"Kanash",1.76666666666667,""
"Kanazawa",2.6969696969697,""
"Kanchipuram",1.38288027761712,""
"Kandahar",1.2088772845953,""
"Kandalaksha",2.75813953488372,""
"Kandi",NA,""
"Kandy",1.87464224384659,""
"Kanggye",2.43708609271523,""
"Kaniama",NA,""
"Kankakee",2.40298507462687,""
"Kankan",1.81159420289855,""
"Kano",2.03850843324528,""
"Kanoya",2,""
"Kanpur",1.48449802034918,""
"Kansas City1",2.01882092443952,""
"Kansas City2",2.15782664941785,""
"Kansk",2.39252336448598,""
"Kanyato",NA,""
"Kanye",1.66666666666667,""
"Kaohsiung",2.51208076168604,""
"Kaolack",2.21428571428571,""
"Kaoma",1.66666666666667,""
"Kapan",1,""
"Kapiri Mposhi",2,""
"Kapoeta",NA,""
"Kaposvar",2.6551724137931,""
"Kapuskasing",2.83333333333333,""
"Kara Balta",1.88235294117647,""
"Karabuk",1.84782608695652,""
"Karachi",2.36649964209019,""
"Karaj",1.32945736434109,""
"Karakol",1.5609756097561,""
"Karaman",NA,""
"Karamay",1.37254901960784,""
"Karasburg",NA,""
"Karasuk",1.80188679245283,""
"Karbala",1.31111111111111,""
"Karema",NA,""
"Kargat",1.66666666666667,""
"Kariba",2.66666666666667,""
"Karimnagar",1.9012987012987,""
"Karlovac",2.2,""
"Karlsruhe",2.63713080168776,""
"Karlstad",2.64279766860949,""
"Karluk",NA,""
"Karnal",1.35873095178616,""
"Karoi",2.5,""
"Karokh",NA,""
"Karonga",2.26760563380282,""
"Karpinsk",2.35164835164835,""
"Karratha",NA,""
"Kars",1.86363636363636,""
"Kartaly",1.84210526315789,""
"Karungu",2.4,""
"Karur",1.48459770114943,""
"Kasaji",NA,""
