"city","mean_ndvi","err"
"Port Arthur",4432.59529858833,""
"Port Augusta",1814.89449781814,""
"Port Blair",5065.46983661838,""
"Port Charlotte",5448.5385335216,""
"Port Douglas",6182.31655844156,""
"Port Elizabeth",4064.25391188931,""
"Port Harcourt",3927.00407253506,""
"Port Hardy",5032.52561549123,""
"Port Hedland",1803.08870360295,""
"Port Hope Simpson",2061.3529314888,""
"Port Lavaca",4039.2900894586,""
"Port Lincoln",3105.16946861172,""
"Port Louis",5884.23311481993,""
"Port Macquarie",4996.01645480031,""
"Port Moresby",4752.43188015481,""
"Port Pirie",2496.13182831661,""
"Port Shepstone",6337.10473575685,""
"Port Sudan",846.761900153486,""
"Port-Gentil",2458.44562444165,""
"Port-Vila",5244.58932673427,""
"Port-au-Prince",4165.80955129549,""
"Port-of-Spain",5762.57777889443,""
"Portachuelo",0,""
"Portel",3295.75,""
"Portimao",0,""
"Portland1",4932.17302408443,""
"Portland2",5731.6897820577,""
"Portland3",5335.77701000844,""
"Porto",5893.75380314442,""
"Porto Alegre",6315.13341862346,""
"Porto Nacional",3790.89327933222,""
"Porto Santana",4408.1161337865,""
"Porto Seguro",4983.56149386392,""
"Porto Uniao",5841.81853558534,""
"Porto Velho",4833.1655931675,""
"Porto-Novo",4994.51888438274,""
"Portoviejo",4320.01218380852,""
"Portsmouth",5612.20665759554,""
"Porvoo",3845.91469153469,""
"Posadas",3935.28023727767,""
"Poso",5495.57156251984,""
"Potchefstroom",3807.97607093259,""
"Poti",5443.00589168469,""
"Potiskum",2304.78961552282,""
"Potosi",1159.96212121212,""
"Potsdam",5500.82681499836,""
"Poughkeepsie",5876.52474162976,""
"Pouso Alegre",5526.42300260126,""
"Powell",2627.93019323672,""
"Powell River",6152.68429038561,""
"Poza Rica de Hidalgo",5790.54788748116,""
"Poznan",4814.21349218849,""
"Prachin Buri",5354.23476897915,""
"Prague",4660.67180202336,""
"Praia",1945.53658497161,""
"Praya",6033.57112500319,""
"Prescott",3495.11798399024,""
"Presidencia Roque Saenz Pena",5373.32355072464,""
"Presidente Prudente",5554.83865893533,""
"Presov",4464.82225790514,""
"Pretoria",3991.4558193675,""
"Price",2444.12971810798,""
"Prieska",2330.33369565217,""
"Prijedor",5254.81417592791,""
"Prince Albert",2558.12363636364,""
"Prince George",4047.8574331172,""
"Principe da Beira",7719.22670807454,""
"Pristina",4474.4124252358,""
"Prizren",4689.4737458194,""
"Probolinggo",6477.26269157178,""
"Proddatur",3693.99470214503,""
"Progreso",1954.34724883105,""
"Progress",3978.07971014493,""
"Prokopyevsk",2912.51956709242,""
"Proserpine",5374.30013175231,""
"Providence",5699.34297990101,""
"Provideniya",338.087526487421,""
"Provo",2700.90389784892,""
"Przemysl",5156.24319416996,""
"Pskov",3612.59508182626,""
"Pucallpa",5074.10202155444,""
"Puebla",4391.72103269178,""
"Pueblo",0,""
"Puerto Aisen",5775.43405797101,""
"Puerto Armuelles",6078.48120588999,""
"Puerto Ayacucho",5057.8098509074,""
"Puerto Baquerizo Moreno",3302.62159164746,""
"Puerto Barrios",5278.0379668571,""
"Puerto Berrio",5154.03383366544,""
"Puerto Cabezas",4985.46412960244,""
"Puerto Carreno",4564.16774028463,""
"Puerto Deseado",2081.07019234238,""
"Puerto Escondido",5447.54462512634,""
"Puerto Lempira",4749.02983366271,""
"Puerto Limon",5733.36869503502,""
"Puerto Lopez",4837.49011857708,""
"Puerto Madryn",1239.61556963561,""
"Puerto Maldonado",5967.23218457037,""
