"city","mean_ndvi","err"
"Tours",5508.30091806952,""
"Townsville",4217.66943969546,""
"Toyama",3456.61309923754,""
"Tozeur",2704.37561101106,""
"Trablous",4622.73622768682,""
"Trabzon",6837.71085347491,""
"Tralee",6612.52665008317,""
"Trancas",4093.53881987578,""
"Trang",6663.12033054328,""
"Tranqueras",5951.4871541502,""
"Traralgon",4986.33861892583,""
"Traverse City",3323.8930607573,""
"Treinta y Tres",5414.5076489533,""
"Trelew",1903.62109234639,""
"Trento",5726.25622728027,""
"Trenton",5544.42974074147,""
"Trepassey",4384.81587134854,""
"Tres Arroyos",3929.4779171679,""
"Tres Lagoas",3864.31343157927,""
"Treviso",5341.53593673669,""
"Trieste",5331.94314402679,""
"Trindade",5966.2938490106,""
"Trinidad1",0,""
"Trinidad2",5288.82281848586,""
"Tripoli1",2138.24088131865,""
"Tripoli2",4630.70638972012,""
"Trivandrum",6197.3395003215,""
"Trnava",4238.01590114034,""
"Trois Rivieres",3111.21360156594,""
"Troitsk",2540.51511771209,""
"Trollhattan",4818.81757454407,""
"Tromso",2642.61251411075,""
"Trondheim",4174.11167697082,""
"Trout River",2687.17087633582,""
"Troyes",4900.91607617679,""
"Trujillo1",5874.57720685112,""
"Trujillo2",6043.72369659326,""
"Trujillo3",2018.04557972906,""
"Truth or Consequences",1613.63656633222,""
"Tsavo",3071.61413043478,""
"Tsetserleg",2554.99699156679,""
"Tshabong",1997.08356860531,""
"Tshela",6090.47995482778,""
"Tshikapa",5374.61666470881,""
"Tskhinvali",4401.93923038481,""
"Tsu",4514.65711110713,""
"Tsumeb",3307.97236714976,""
"Tsuruoka",3322.98310543745,""
"Tuapse",5135.83740544102,""
"Tuban",5265.35373208725,""
"Tubarao",5729.15329017135,""
"Tubruq",1056.02724832712,""
"Tucano",2475.67391304348,""
"Tucson",2389.65236378205,""
"Tucumcari",2572.53788819876,""
"Tucupita",5107.27428390538,""
"Tucurui",7253.41304347826,""
"Tukuyu",6751.75467091437,""
"Tula1",3754.08550283122,""
"Tula2",2249.72554347826,""
"Tulare",0,""
"Tulcea",3482.90728267766,""
"Tulsa",0,""
"Tulua",5860.5089400566,""
"Tulun",3160.59331992272,""
"Tumbes",2865.51361440492,""
"Tumen",3558.47736255839,""
"Tumkur",4707.77746233945,""
"Tumut",5226.1652173913,""
"Tunduma",3959.12678963549,""
"Tunduru",5228.79347826087,""
"Tungkang",4695.31037286715,""
"Tunis",0,""
"Tunja",3991.42797540624,""
"Tununak",2203.84834985663,""
"Tunuyan",3538.7766590389,""
"Tupa",5450.99709684109,""
"Tupelo",5401.51146365077,""
"Tupiza",1252.12422360248,""
"Tuquerres",5999.33530020704,""
"Turbat",1793.29261363636,""
"Turbo",4129.72194107819,""
"Turin",5009.88765107853,""
"Turkistan",1841.74344785649,""
"Turkmenabat",2465.72310704402,""
"Turkmenbasy",835.283301088005,""
"Turku",3735.96481055061,""
"Turnovo",5148.34304469387,""
"Turpan",2796.26473047413,""
"Tuscaloosa",5875.0032417382,""
"Tuticorin",3301.11120511006,""
"Tuxpam",5603.46811026248,""
"Tuxpan",4305.77759197324,""
"Tuxtla Gutierrez",4783.4994994995,""
"Tuymazy",3045.45652173913,""
"Tuzla",5942.53581710828,""
"Tver",3434.12258340811,""
"Tweed Heads",5120.371208885,""
"Twin Falls",3556.52443649183,""
"Tyler",5520.6019193331,""
"Tynda",2877.02974828375,""
"Tyumen",2752.15526681605,""
"Tzaneen",5510.1784165044,""
"Uba",5772.13544286741,""
"Ubaitaba",6509.88438735178,""
"Uberaba",4718.00320172934,""
"Uberlandia",4386.15573959052,""
"Ubomba",7771.91304347826,""
"Ubon Ratchathani",4915.158264226,""
"Udaipur",3776.28935191876,""
"Udine",5471.55955404723,""
"Udon Thani",4770.64063943303,""
"Ufa",3392.47159527916,""
"Uglegorsk",3617.17924551034,""
"Uglich",3576.03342498078,""
"Uige",3064.8483201581,""
"Uitenhage",4634.8888725129,""
"Ujjain",4061.05536142975,""
"Ujungpandang",6171.2982852844,""
"Ukhta",3002.59774244169,""
"Ukiah",5120.51783838691,""
"Ulaanbaatar",2282.79757640573,""
"Ulaangom",1463.31765480896,""
"Ulan Ude",2654.10167328711,""
"Ulanhot",3098.04229408786,""
"Uliastay",1773.11044200891,""
"Ulladulla",5223.33420621892,""
"Ulm",5075.49720708533,""
"Ulsan",4917.56124042354,""
"Ulundi",4899.49589446763,""
"Ulyanovsk",2524.75142222409,""
"Uman",3697.32852621687,""
"Umea",4247.93347100745,""
"Umm Ruwaba",2108.04581386992,""
"Umm al Qaywayn",1359.26680328822,""
"Umtata",4405.99708269021,""
"Unalakleet",1050.6550802139,""
"Unalaska",3147.58399307805,""
"Uncia",2032.21428571429,""
"Upata",5188.16951948519,""
"Upington",2876.90075846598,""
"Upper Hutt",7245.67765993597,""
"Uppsala",4218.71960402274,""
"Uray",2166.06477373558,""
"Urbana",4400.58134110787,""
"Urgentch",2319.26983920975,""
"Urgut",2921.334154192,""
"Uroteppa",2552.93549907424,""
"Uruapan",5054.93639430285,""
"Urubamba",4288.09041501976,""
"Uruguaiana",5042.42478272621,""
"Urumqi",1728.80215695558,""
"Uryupinsk",3402.11939083934,""
"Urzhar",3234.78472686734,""
"Usak",3310.29910307084,""
"Usakos",1469.00203804348,""
"Ushtobe",3068.12999471924,""
"Ushuaia",3500.57384709222,""
"Usolye Sibirskoye",3062.48088324719,""
"Uspallata",3617.33540372671,""
"Ussuriysk",3951.17053098343,""
"Ust Kut",3345.76653069855,""
"Ust-Ulimsk",2726.9663107043,""
"Uthai Thani",5327.05141476881,""
"Utica",4765.12044443575,""
"Utrecht",6216.19385284233,""
"Utsunomiya",0,""
"Uttaradit",5226.91900780379,""
"Uvinza",4967.49616146207,""
"Uvira",2753.8697049405,""
"Uyar",3364.65150501672,""
"Uyuni",908.378368666906,""
"Uzhgorod",4660.34355590062,""
"Uzhur",2980.60106850783,""
"Vaasa",3800.08039051356,""
"Vac",4890.04941430766,""
"Vacaria",5415.7850031506,""
"Vadodara",4305.52968180899,""
"Vaduz",6245.72509233983,""
"Val d'Or",2698.06893144748,""
"Valdez",2290.88423149565,""
"Valdivia",5483.14681359147,""
"Valdosta",5933.76448578595,""
"Valenca",4807.29500538987,""
"Valencia1",5100.76755160518,""
"Valencia2",3680.18648328605,""
"Valera",5889.25208702467,""
"Valladolid1",3230.88882432969,""
"Valladolid2",5853.77413600892,""
"Valle de la Pascua",3688.34870443566,""
"Valledupar",5730.47613102233,""
"Vallegrande",4528.41600790514,""
"Vallejo",3931.04311468445,""
"Vallenar",1782.48618201021,""
"Valletta",0,""
"Valparai",6164.9560299036,""
"Valparaiso1",3681.96499153021,""
"Valparaiso2",4201.71598413745,""
"Valuyki",3619.27997170054,""
"Van",2551.96891728004,""
"Van Horn",1712.3254076087,""
"Vanadzor",4920.6650621118,""
"Vancouver1",5245.0232192124,""
"Vancouver2",4979.96058171812,""
"Vanhynsdorp",2407.38923395445,""
"Vanino",3523.09020001721,""
"Varamin",2504.55642178911,""
"Varanasi",4310.05922160003,""
"Varna",3980.98070692266,""
"Varzea Grande",4953.23005121611,""
"Vasteraas",3663.10587673077,""
"Vatican City",5332.78304264174,""
"Vaxjo",4423.86016668675,""
"Vegreville",2045.37022397892,""
"Veinticinco de Mayo",5491.51735693418,""
"Velikiy Ustyug",2793.83263771801,""
"Velikiye Luki",3682.82359404809,""
"Vellore",5404.37522041992,""
"Velsk",3345.01097153567,""
"Venado Tuerto",4712.5952023988,""
"Venice",1023.08517758184,""
"Ventspils",3775.47086832776,""
"Vera",5143.81371980676,""
"Veracruz",3705.28164103839,""
"Vereeniging",3690.74231954294,""
"Vergara",5872.98468379447,""
"Verkhniy Ufaley",3228.75212859995,""
"Verkhnyaya Salda",3050.32750060561,""
"Vernal",3441.51320387237,""
"Vernon",3597.76125603865,""
"Vero Beach",5711.90467593334,""
"Verona",5583.17854751204,""
"Versailles",5455.49110311666,""
