"city","mean_ndvi","err"
"Batouri",6098.02494207442,""
"Battambang",5241.72908966279,""
"Batticaloa",3436.43123850691,""
"Battle Creek",4897.73743828635,""
"Batu Pahat",5905.47039664474,""
