"","city","mean_ndvi","mean_surface_water","mean_uhi_DayNight","mean_uhi_daytime","mean_uhi_Nighttime"
"1","Seattle",5885.99756766647,2.92106863420765,0.7618481610848,0.577815331554612,0.184032829530188
"2","Sechura",1865.85520186335,1.73684210526316,NA,NA,NA
"3","Sefra",1704.59146537842,NA,-0.78230603297674,-0.95331242750071,0.17100639452397
"4","Segezha",3214.22003522319,2.62686567164179,0.546306899820383,0.589458242058754,-0.0431513422383712
"5","Segou",2033.63692718335,2.69672131147541,2.76990097608322,0.74302132618733,2.02687964989589
"6","Seguela",4331.85487922705,NA,NA,NA,NA
"7","Sekondi",4159.02127242828,2.57684210526316,2.43121144169328,2.12167172058053,0.309539721112748
"8","Selawik",2856.29417293233,2.13636363636364,NA,NA,NA
"9","Selfoss",3372.13644661868,2.94117647058824,NA,NA,NA
"10","Selibaby",2587.93115942029,NA,NA,NA,NA
"11","Selkirk",2628.27035886819,2.27450980392157,NA,NA,NA
"12","Selma",6085.4081027668,2.19354838709677,1.70842924442674,1.27923959759729,0.429189646829452
"13","Semarang",6009.80788437151,2.68936370296662,1.7441001823562,1.49527371689809,0.248826465458105
"14","Sembe",7526.58364389234,NA,NA,NA,NA
"15","Semey",2345.97886133526,2.29635761589404,4.18877571113119,3.17174547922417,1.01703023190702
"16","Semnan",1561.62024154589,1.75,-2.69797415281945,-2.76597124860998,0.0679970957905233
"17","Sena Madureira",5756.39353840866,1.78048780487805,NA,NA,NA
"18","Sendai",4129.39385954938,2.66296378582537,3.25294151051284,2.86171010405277,0.391231406460064
"19","Senhor do Bonfim",3436.49881422925,1,NA,NA,NA
"20","Sennar",2284.39225894208,1.42857142857143,-1.84936152944075,-2.33094578795135,0.481584258510598
"21","Sensuntepeque",6751.42534036012,NA,NA,NA,NA
"22","Seoul",0,2.23620696696206,2.51652325658098,1.16663600194455,1.34988725463643
"23","Serang",5752.01343149267,2.49575749281511,0.65803305511289,0.670720627431625,-0.0126875723187353
"24","Serdobsk",3711.78651925877,1.953125,1.52504227505006,1.05605587883198,0.468986396218076
"25","Seremban",5584.35885511429,1.68145161290323,1.43669037908689,1.22611097265077,0.210579406436117
"26","Seres",4432.50678871091,NA,0.9733533663317,0.307981453262843,0.665371913068857
"27","Sergiyev Posad",4132.54786224351,2.4375,2.2901780250619,1.7702686737043,0.519909351357606
"28","Serov",3660.13879276665,1.54054054054054,2.75349396291048,1.84214651033345,0.911347452577032
"29","Serowe",3362.74939096042,1.4,1.67236278891355,0.942212841806709,0.730149947106838
"30","Serpukhov",3629.8703408859,2.1195652173913,1.94442890515429,1.40432955334718,0.540099351807105
"31","Serrinha",4507.42875048962,1.23076923076923,NA,NA,NA
"32","Sesheke",4280.33333333333,NA,NA,NA,NA
"33","Sete Lagoas",4962.87405260333,1.43617021276596,1.63792945041298,1.13894272050186,0.498986729911118
"34","Setif",0,1.89473684210526,0.72000105364349,-0.375418391747353,1.09541944539084
"35","Settat",3695.52643948296,2,0.829098200780671,0.00365598835208896,0.825442212428582
"36","Setubal",3991.65491179538,2.78698224852071,-0.154311726052771,-0.408857869945074,0.254546143892303
"37","Sevastapol",4052.50608785501,2.98452278589854,1.04334651446209,0.0425338670770989,1.00081264738499
"38","Severnyy",2037.04717127414,1.89041095890411,NA,NA,NA
"39","Severodvinsk",2364.60533463403,2.56719817767654,1.79452241288453,0.883226239172424,0.911296173712102
"40","Severomorsk",3133.55238341056,2.72413793103448,NA,NA,NA
"41","Severouralsk",3944.99285433128,2.37209302325581,NA,NA,NA
"42","Seville",0,2.29184549356223,1.95371876585581,0.775774598352162,1.17794416750365
"43","Seymour",5078.91117120865,2.84615384615385,NA,NA,NA
"44","Sfax",1672.03392868158,2.87269585253456,-0.791699142018603,-1.9038490704789,1.11214992846029
"45","Shache",2763.72735089278,1.48648648648649,1.04141319255572,-0.114587291534389,1.15600048409011
"46","Shadrinsk",3253.25263504611,1.17672413793103,1.26185655716656,0.738194952397335,0.523661604769227
"47","Shahjahanpur",4657.5853202019,1.40914632564655,2.39908092633004,1.07122274930397,1.32785817702607
"48","Shahrisabz",3181.37039316844,1.33532219570406,0.966476394853766,0.606382275541682,0.360094119312085
"49","Shahrud",0,NA,-1.0236568650017,-1.19346646353847,0.169809598536765
"50","Shakhty",3329.49446339788,2.04666666666667,1.88890158198581,1.04147103098571,0.847430551000103
"51","Shalqar",1098.5325453861,2.11320754716981,0.547922279108579,-0.143777200401248,0.691699479509827
"52","Shamattawa",2228.32814879455,2.6,NA,NA,NA
"53","Shamva",4959.77724449464,1,NA,NA,NA
"54","Shangdu",1876.18726163234,1.66666666666667,NA,NA,NA
