"city","mean_ndvi","err"
"Cluj-Napoca",4278.13129227935,""
"Coalcoman",4845.87258454106,""
"Coari",3939.00087782027,""
"Coatzacoalcos",4210.02138712914,""
"Cobalt",3432.6976284585,""
"Coban",6190.64440993789,""
"Cobija",5621.85611458485,""
"Cobram",3539.40598531903,""
"Coburg",5246.57269061244,""
"Cochabamba",0,""
"Cochin",6044.77339204056,""
"Cochrane",2953.32383252818,""
"Cody",2402.67458817175,""
"Coffeyville",0,""
"Coffs Harbour",5588.05284463443,""
"Coihaique",5748.47708578143,""
"Coimbatore",4248.77782856623,""
"Coimbra",5708.81769036117,""
"Colac",5141.7177726926,""
"Colesberg",2706.12145167086,""
"Colima",4559.97085068412,""
"Colinas",4299.09161490683,""
"Collipulli",5524.28530362918,""
"Colombo",7008.91521354549,""
"Colon1",4445.92606480504,""
"Colon2",5866.05788617399,""
"Colorado Springs",3489.46291265347,""
"Columbia1",5711.27135801685,""
"Columbia2",6181.94956198672,""
"Columbia3",5921.05447417074,""
"Columbus1",6031.85795238261,""
"Columbus2",4813.26870224121,""
"Comallo",2241.69828722003,""
"Comandante Fontana",6004.92068511199,""
"Comayagua",5286.11205533597,""
"Combarbala",2775.3504880213,""
"Comilla",5515.70414866824,""
"Como",5488.72404093705,""
"Comodoro Rivadavia",2490.59818334078,""
"Comondante Luis Piedrabuena",1804.63043478261,""
"Compostela",4869.97285902503,""
"Conakry",3310.00355565718,""
"Concepcion del Uruguay",5018.91219055544,""
"Concepcion1",5450.79429641387,""
"Concepcion2",5107.08037231595,""
"Concord",5197.75307507823,""
"Concordia1",4653.51015299942,""
"Concordia2",6480.68044711104,""
"Conselheiro Lafaiete",5275.34452502023,""
"Constanta",3242.44852764078,""
"Constantine",0,""
"Constitucion",4146.12943808145,""
"Contamana",4814.87396461856,""
"Conway",5202.5045642763,""
"Cooma",4006.35681696189,""
"Coos Bay",5616.01906111442,""
"Copenhagen",5096.53651074738,""
"Copiapo",1025.72609848922,""
"Coquimbo",1563.34584622554,""
"Coracora",4276.69313690262,""
"Coral Gables",4001.73021705098,""
"Coral Springs",4526.64966985966,""
"Cordoba1",4108.51552354001,""
"Cordoba2",0,""
"Cordoba3",6379.07476498237,""
"Cordova",2802.79556712951,""
"Cork",5998.18430729963,""
"Corner Brook",3065.7886669248,""
"Cornwall",4086.02992502607,""
"Coro",3209.86786400888,""
"Coronel",4720.42548609715,""
"Coronel Bogado",6278.6263025512,""
"Coronel Oviedo",6291.83916083916,""
"Coronel Suarez",4386.46534914361,""
"Corpus Christi",3319.29600829947,""
"Corrientes",4163.03484425956,""
"Corum",2932.03795954339,""
"Corumba",6111.32973507411,""
"Corvallis",5942.28550574919,""
"Cotabato",6881.13815538126,""
"Cotonou",4597.6705523885,""
"Cottbus",5258.81300663228,""
"Council Bluffs",3911.04870277296,""
"Courtenay",5906.5764454015,""
"Coventry",5575.48052536232,""
"Covilha",4998.62554669411,""
"Covington",5374.52789674234,""
"Cowell",2515.93629129023,""
"Cowra",4257.9060259344,""
"Cozumel",5225.00587098627,""
"Craig",2339.16741629185,""
"Craiova",4247.16602437418,""
"Cranbourne",5014.61061192137,""
"Cranbrook",4076.8132266461,""
"Crateus",3550.56935817805,""
"Crato",5622.10201862297,""
"Crescent City",5856.95470921744,""
"Crestview",6599.01590285938,""
"Criciuma",6344.62228863395,""
"Cristalina",0,""
"Crookston",2891.66093830555,""
"Crotone",4062.62032480646,""
"Cruzeiro do Sul",5865.87952265126,""
"Cuamba",4481.86411339785,""
"Cuauhtemoc",2819.52778022753,""
"Cubal",3612.59288537549,""
"Cucuta",4895.588826391,""
"Cuddalore",4867.53161987332,""
