"","city","mean_ndvi","mean_surface_water","mean_uhi_DayNight","mean_uhi_daytime","mean_uhi_Nighttime"
"1","Kadugli",3527.86766265361,2,0.00210591664430323,-0.0919027879314784,0.0940087045757816
"2","Kaduna",3604.28831983123,2.003663003663,1.89209681242395,1.16805287463481,0.72404393778914
"3","Kaedi",1676.65406236276,1.93877551020408,NA,NA,NA
"4","Kaesong",4374.72567441631,2.29109589041096,NA,NA,NA
"5","Kafue",4553.95041322314,1.55,-1.70255750417709,-1.04789920945962,-0.654658294717469
"6","Kaga Bandoro",5053.41855072464,NA,NA,NA,NA
"7","Kagoshima",4118.62774769209,2.90541632983023,2.26608304104741,2.05348770429333,0.212595336754082
"8","Kahama",3830.03802454174,1.76,NA,NA,NA
"9","Kahramanmaras",3280.26607853798,1,0.479718430172823,-0.372430045191848,0.852148475364671
"10","Kaiapoi",6490.16070853462,2.35294117647059,NA,NA,NA
"11","Kaifeng",4643.17950114067,1.36652394702778,1.27605425325431,0.39539791558142,0.880656337672892
"12","Kailu",3533.5649122807,NA,NA,NA,NA
"13","Kaka",0,NA,0.952039301809338,-0.0341873479386159,0.986226649747954
"14","Kakamega",6444.21793676516,1.9390243902439,NA,NA,NA
"15","Kakinada",5351.55094025496,2.13348187929688,1.80203500207298,0.899850214652286,0.902184787420694
"16","Kakonko",5659.50397037354,1.5,NA,NA,NA
"17","Kaktovik",652.360628822423,3,NA,NA,NA
"18","Kalachinsk",2636.06525684526,2.18181818181818,NA,NA,NA
"19","Kalamata",0,2.98064516129032,1.10929035217823,0.484574714797401,0.624715637380832
"20","Kalamazoo",4773.72609719052,2.28571428571429,1.02116801224619,0.668545801896023,0.35262221035017
"21","Kalemie",3405.70498901025,2.68888888888889,NA,NA,NA
"22","Kalgoorlie",2619.55571202253,1.85714285714286,0.355168847492598,0.112928822360657,0.242240025131941
"23","Kalima",7206.76449275362,NA,NA,NA,NA
"24","Kaliningrad",4364.61795194449,2.4342762063228,1.82987466533248,1.11036429950312,0.71951036582936
"25","Kalispell",3358.13370147659,2.335,0.650983446420519,0.662270286971806,-0.011286840551287
"26","Kalisz",4393.01450584145,2.58571428571429,1.74347606949697,1.22750030554642,0.515975763950544
"27","Kalmar",4285.36328007962,2.58656330749354,1.11421196152832,0.679306365993639,0.434905595534685
"28","Kaluga",3730.92255399528,2.54,2.87494582016299,2.40648362648265,0.468462193680342
"29","Kalyan",3687.53923974577,2.14316761749525,1.32017398820991,0.169616809191575,1.15055717901833
"30","Kambove",3179.2661934339,NA,NA,NA,NA
"31","Kamenka",3521.06368286445,2.14285714285714,0.531306293760908,0.730090163905045,-0.198783870144137
"32","Kamenna Obi",2274.83873617392,2.53125,2.1109043587237,2.24647173052984,-0.135567371806143
"33","Kamensk Shakhtinskiy",3246.06933019976,2.68292682926829,1.60570540768094,0.762127462755113,0.843577944925831
"34","Kamensk Uralskiy",3178.55992707366,2.21951219512195,1.83842665718097,1.12748632972326,0.710940327457708
"35","Kamina",4940.29624590265,1.5,1.18653156865007,0.49110433102886,0.695427237621207
"36","Kamloops",3242.8379149787,2.53351206434316,0.669984785449582,0.431065405657351,0.238919379792231
"37","Kampala",4603.95587547486,2.88806385743456,2.9191858545498,2.08661728886236,0.83256856568744
"38","Kampene",5096.46195652174,NA,NA,NA,NA
"39","Kampong Cham",5034.03326159728,2.01273885350318,NA,NA,NA
"40","Kampot",4564.92643373078,1.89097744360902,NA,NA,NA
"41","Kamsar",3581.5676463879,2.32773109243697,NA,NA,NA
"42","Kamyanets-Podilskyy",4371.30187774287,1.77777777777778,1.9372230081518,1.24531193566744,0.691911072484358
"43","Kamyshin",1807.27051361201,2.94426229508197,0.521711129735297,-0.975758244756322,1.49746937449162
"44","Kanab",0,NA,NA,NA,NA
"45","Kananga",6080.66313081589,1.91764705882353,1.04799997706892,0.389209889571505,0.658790087497412
"46","Kanash",3123.17569651981,1.76666666666667,0.897815201144536,0.409425345417329,0.488389855727207
"47","Kanazawa",3605.56178418011,2.6969696969697,3.06914482942949,3.17225370844912,-0.103108879019626
"48","Kanchipuram",5024.53701426212,1.38288027761712,1.74059122601783,0.972614546559592,0.767976679458242
"49","Kandahar",1581.41605601932,1.2088772845953,NA,NA,NA
"50","Kandalaksha",3736.61506637487,2.75813953488372,NA,NA,NA
"51","Kandi",3718.58932112891,NA,NA,NA,NA
"52","Kandy",7118.75470269381,1.87464224384659,NA,NA,NA
"53","Kanggye",4078.31586056084,2.43708609271523,NA,NA,NA
"54","Kaniama",7110.75839920949,NA,NA,NA,NA
"55","Kankakee",4276.31505928854,2.40298507462687,1.50295237367336,0.966369259365937,0.536583114307428
"56","Kankan",3376.24635409568,1.81159420289855,1.69574702760884,1.07078560532254,0.624961422286301
"57","Kano",3226.61235536096,2.03850843324528,1.91986074805629,0.721607171623183,1.19825357643311
"58","Kanoya",5149.2817540861,2,1.61431310948596,1.57091670094141,0.0433964085445475
"59","Kanpur",4420.91664701884,1.48449802034918,2.52689183135607,0.959078084308242,1.56781374704783
"60","Kansas City1",4815.87428225918,2.01882092443952,1.6831235694801,1.1708558249197,0.512267744560404
"61","Kansas City2",4677.50307062942,2.15782664941785,1.97155280245724,1.46396342778469,0.507589374672554
"62","Kansk",2993.82709306504,2.39252336448598,1.24056655429475,0.866313605436257,0.374252948858496
"63","Kanyato",5398.78532608696,NA,NA,NA,NA
