"","city","mean_ndvi","mean_surface_water","mean_uhi_DayNight","mean_uhi_daytime","mean_uhi_Nighttime"
"1","Bengbu",4344.4780334848,1.7831752696735,1.78887348326126,1.05927187329922,0.729601609962047
"2","Bengkulu",5926.52866321473,2.79425837320574,NA,NA,NA
"3","Beni",7768.47244994881,1.30322580645161,1.88447331654634,1.51802760425588,0.366445712290459
"4","Beni Mazar",5446.81117659193,2.20731707317073,2.13894893657416,1.23295471314341,0.905994223430753
"5","Beni Ounif",1205.46343873518,NA,NA,NA,NA
"6","Beni Suef",5057.46957337466,2.41618497109827,0.0175329630645055,-0.665299360861453,0.682832323925958
"7","Benin City",4057.20768676832,1.5,2.78014088142209,2.10941485789637,0.670726023525721
"8","Benoni",3575.02102522137,1.90559440559441,1.08042271673909,-0.168145286980122,1.24856800371921
"9","Bento Goncalves",6815.22719038208,1.33333333333333,0.677637824362703,0.727483397859228,-0.0498455734965245
"10","Benton Harbor",3928.94213860424,2.79767103347889,0.573064054343323,0.142604563239205,0.430459491104118
"11","Benxi",4344.15326446707,2.29487179487179,2.00607007123876,1.08522960139742,0.920840469841347
"12","Berber",1807.19345280233,2.03787878787879,-2.34953694811768,-1.84858687696132,-0.500950071156363
"13","Berbera",901.696375932468,2.87179487179487,NA,NA,NA
"14","Berberati",6513.92431057199,NA,1.92305228573697,1.27714009262691,0.645912193110056
"15","Berdyansk",3473.38679337647,2.92592592592593,0.222073635427709,-0.717407837805124,0.939481473232833
"16","Berekum",4438.42906602254,1.5,NA,NA,NA
"17","Berezniki",2600.19145114186,2.15192743764172,1.70922421783133,1.38660442592756,0.322619791903774
"18","Bergamo",5810.60034140285,2.38644304682041,0.0294296649169973,0.100837155059989,-0.0714074901429912
"19","Bergen",4409.37094988103,2.96434782608696,NA,NA,NA
"20","Berkeley",4098.15606644057,2.92900054614964,0.77410058160811,0.827311907234998,-0.0532113256268882
"21","Berlin",5412.03451155564,2.66960477679841,1.94378744998264,1.03558701957685,0.908200430405783
"22","Bermejo",5279.11428571429,1.46153846153846,NA,NA,NA
"23","Bern",6233.95166124421,2.25735294117647,1.01176880134888,0.444433766817995,0.567335034530886
"24","Berri",3013.12845849802,2.7,NA,NA,NA
"25","Bertoua",3257.07608695652,NA,NA,NA,NA
"26","Besalampy",0,1.8,NA,NA,NA
"27","Besancon",6185.28826608174,2.19,1.99570284802566,1.59812714201912,0.397575706006542
"28","Betanzos",2609.60248447205,NA,NA,NA,NA
"29","Bethal",4094.21681466959,2.18518518518519,NA,NA,NA
"30","Bethanie",1251.16501976285,2,NA,NA,NA
"31","Bethel",2219.85568221869,2.31155778894472,NA,NA,NA
"32","Bethlehem",4027.69236251458,2.4,0.785695916114573,0.435338559805016,0.350357356309558
"33","Bezhetsk",3796.50067482888,1.95192307692308,0.16223011798827,0.166874610612878,-0.00464449262460762
"34","Beziers",4548.62456521739,2.18181818181818,2.9072250679164,2.01478028588552,0.892444782030882
"35","Bhagalpur",4392.43999596225,1.67697981411059,1.55710184313794,0.657098850033336,0.900002993104605
"36","Bharatpur",4210.93407868937,1.3147655703289,2.19690980906885,0.551224093830576,1.64568571523827
"37","Bhatpara",5061.43259137498,1.57100795185902,3.18499008779096,1.59681046382082,1.58817962397014
"38","Bhavnagar",2637.48748825479,1.93558776167472,-0.373698583885561,-1.51161624782465,1.13791766393909
"39","Bhilwara",3869.88255142161,1.58426966292135,1.25498556164651,-0.328131515717918,1.58311707736442
"40","Bhisho",4891.45559293142,2.04761904761905,0.91557557899505,0.473005252824549,0.442570326170501
"41","Bhiwandi",4170.42972253192,2.03687943262411,1.69957186155996,1.16720530221453,0.532366559345427
"42","Bhiwani",3954.18383506876,1.34428284854564,1.52055123485866,0.263019987783778,1.25753124707488
"43","Bhopal",3667.05933548748,1.86288659793814,1.25671619370591,-0.550970598371307,1.80768679207721
"44","Bhubaneshwar",5118.25572258645,1.54716756112105,1.1250725990016,0.62208014075509,0.502992458246513
"45","Bhusawal",3651.63046636548,1.66808510638298,1.25378984843606,-0.696942299877824,1.95073214831389
"46","Biak",6106.72859716907,2.965,NA,NA,NA
"47","Bialystok",4516.828397248,2.08974358974359,2.45597606945537,2.15625385413194,0.299722215323422
"48","Biarritz",6170.56815930002,2.95705394190871,1.26309709137149,0.823971992502191,0.439125098869294
"49","Bicheno",6505.67391304348,NA,NA,NA,NA
"50","Bida",3780.81456344998,NA,NA,NA,NA
"51","Bidar",3766.28971390928,1.3768115942029,0.18567622242605,-0.188778895840925,0.374455118266975
"52","Biel",5491.47684036133,2.725,0.252612315471573,0.155746446183787,0.0968658692877867
"53","Bielefeld",5894.67111680228,2.09090909090909,0.505871657877028,0.0353668464245609,0.470504811452467
"54","Bien Hoa",4890.25370420115,1.87777023971054,2.16793935320977,1.98401579577791,0.183923557431855
"55","Big Spring",2634.55436550018,1.70588235294118,NA,NA,NA
"56","Biggar",2061.40289855073,2,NA,NA,NA
"57","Biharamulo",5508.05826754142,2,NA,NA,NA
"58","Bijapur",2486.08867517461,1.7741935483871,-0.181841370201511,-1.34146697862877,1.15962560842725
"59","Bijar",0,NA,NA,NA,NA
"60","Bikaner",1933.30492265886,1.92105263157895,-0.158937795919183,-1.64614716426063,1.48720936834145
